Label,Value,Year
Legacy Rape Reported,26,1985
Legacy Rape Cleared,18,1985
Legacy Rape Reported,29,1986
Legacy Rape Cleared,17,1986
Legacy Rape Reported,28,1987
Legacy Rape Cleared,10,1987
Legacy Rape Reported,30,1988
Legacy Rape Cleared,13,1988
Legacy Rape Reported,18,1989
Legacy Rape Cleared,9,1989
Legacy Rape Reported,27,1990
Legacy Rape Cleared,18,1990
Legacy Rape Reported,39,1991
Legacy Rape Cleared,16,1991
Legacy Rape Reported,24,1992
Legacy Rape Cleared,18,1992
Legacy Rape Reported,26,1993
Legacy Rape Cleared,17,1993
Legacy Rape Reported,16,1994
Legacy Rape Cleared,14,1994
Legacy Rape Reported,14,1995
Legacy Rape Cleared,7,1995
Legacy Rape Reported,20,1996
Legacy Rape Cleared,3,1996
Legacy Rape Reported,5,1997
Legacy Rape Cleared,1,1997
Legacy Rape Reported,18,1998
Legacy Rape Cleared,9,1998
Legacy Rape Reported,17,1999
Legacy Rape Cleared,8,1999
Legacy Rape Reported,9,2000
Legacy Rape Cleared,3,2000
Legacy Rape Reported,23,2001
Legacy Rape Cleared,2,2001
Legacy Rape Reported,23,2002
Legacy Rape Cleared,10,2002
Legacy Rape Reported,26,2003
Legacy Rape Cleared,18,2003
Legacy Rape Reported,15,2004
Legacy Rape Cleared,19,2004
Legacy Rape Reported,12,2005
Legacy Rape Cleared,12,2005
Legacy Rape Reported,16,2006
Legacy Rape Cleared,16,2006
Legacy Rape Reported,14,2007
Legacy Rape Cleared,11,2007
Legacy Rape Reported,13,2008
Legacy Rape Cleared,1,2008
Legacy Rape Reported,8,2009
Legacy Rape Cleared,3,2009
Legacy Rape Reported,7,2010
Legacy Rape Cleared,3,2010
Legacy Rape Reported,11,2011
Legacy Rape Cleared,6,2011
Legacy Rape Reported,19,2012
Legacy Rape Cleared,10,2012
Legacy Rape Reported,21,2013
Legacy Rape Cleared,10,2013
Revised Rape Reported,22,2014
Revised Rape Cleared,8,2014
Revised Rape Reported,19,2015
Revised Rape Cleared,7,2015
Revised Rape Reported,22,2016
Revised Rape Cleared,7,2016
Revised Rape Reported,23,2017
Revised Rape Cleared,7,2017
Revised Rape Reported,24,2018
Revised Rape Cleared,6,2018
