Label,Value,Year
Reported,229,1985
Cleared,66,1985
Reported,146,1986
Cleared,69,1986
Reported,265,1987
Cleared,68,1987
Reported,260,1988
Cleared,64,1988
Reported,170,1989
Cleared,78,1989
Reported,268,1990
Cleared,107,1990
Reported,220,1991
Cleared,104,1991
Reported,140,1992
Cleared,106,1992
Reported,142,1993
Cleared,56,1993
Reported,206,1994
Cleared,71,1994
Reported,94,1995
Cleared,66,1995
Reported,138,1996
Cleared,60,1996
Reported,23,1997
Cleared,3,1997
Reported,82,1998
Cleared,39,1998
Reported,116,1999
Cleared,79,1999
Reported,166,2000
Cleared,8,2000
Reported,136,2001
Cleared,15,2001
Reported,179,2002
Cleared,90,2002
Reported,57,2003
Cleared,41,2003
Reported,94,2004
Cleared,73,2004
Reported,174,2005
Cleared,151,2005
Reported,134,2006
Cleared,132,2006
Reported,131,2007
Cleared,84,2007
Reported,162,2008
Cleared,45,2008
Reported,187,2009
Cleared,46,2009
Reported,195,2010
Cleared,40,2010
Reported,254,2011
Cleared,56,2011
Reported,214,2012
Cleared,36,2012
Reported,150,2013
Cleared,41,2013
Reported,124,2014
Cleared,30,2014
Reported,128,2015
Cleared,28,2015
Reported,125,2016
Cleared,31,2016
Reported,101,2017
Cleared,29,2017
Reported,102,2018
Cleared,22,2018
