year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,NY0350200,268,134,41,6,1034,155,5,4,848,160,44,22,1926,337,229,66
1986,NY0350200,270,146,36,20,771,105,4,3,761,177,75,53,1607,335,146,69
1987,NY0350200,369,137,61,4,1041,99,3,3,1344,202,198,167,2583,468,265,68
1988,NY0350200,462,158,12,3,1087,91,6,5,1296,205,207,198,2590,494,260,64
1989,NY0350200,392,177,25,5,836,149,4,4,1164,236,112,101,2112,486,170,78
1990,NY0350200,402,181,19,2,789,115,4,4,886,188,118,107,1793,410,268,107
1991,NY0350200,290,157,19,4,717,158,5,3,790,169,67,55,1574,382,220,104
1992,NY0350200,244,165,24,14,503,104,4,3,820,202,71,66,1394,372,140,106
1993,NY0350200,226,127,22,7,528,85,5,2,735,155,53,50,1316,290,142,56
1994,NY0350200,203,109,27,7,559,98,4,5,718,121,76,63,1353,282,206,71
1995,NY0350200,198,141,25,8,402,315,2,1,539,488,188,165,1129,968,94,66
1996,NY0350200,202,102,34,22,565,244,7,2,965,524,154,97,1684,865,138,60
1997,NY0350200,51,21,1,0,120,7,0,0,107,29,28,6,255,42,23,3
1998,NY0350200,170,84,14,1,391,101,0,0,470,160,125,57,986,318,82,39
1999,NY0350200,207,164,26,15,385,267,6,4,608,445,78,54,1071,766,116,79
2000,NY0350200,262,44,6,1,343,7,1,1,857,31,92,17,1292,55,166,8
2001,NY0350200,293,91,17,1,428,26,7,7,1041,47,71,16,1540,89,136,15
2002,NY0350200,378,194,14,0,349,71,7,3,860,129,93,21,1302,221,179,90
2003,NY0350200,175,115,11,2,316,103,2,2,624,77,107,12,1047,192,57,41
2004,NY0350200,259,218,24,11,258,168,3,2,793,149,129,22,1180,339,94,73
2005,NY0350200,243,213,19,4,294,162,3,2,707,236,76,20,1077,418,174,151
2006,NY0350200,235,187,14,4,264,135,1,0,750,257,66,23,1080,415,134,132
2007,NY0350200,289,174,5,2,316,112,2,1,791,188,69,10,1176,310,131,84
2008,NY0350200,294,129,10,2,333,37,7,5,640,74,90,17,1063,128,162,45
2009,NY0350200,267,112,10,2,316,23,4,2,661,45,88,8,1065,76,187,46
2010,NY0350200,309,111,14,1,342,25,11,3,724,54,66,7,1132,86,195,40
2011,NY0350200,258,101,10,3,401,32,4,4,782,53,60,13,1243,98,254,56
2012,NY0350200,306,135,9,0,341,23,5,2,814,46,62,15,1217,84,214,36
2013,NY0350200,259,119,15,1,304,33,5,1,673,55,63,6,1040,94,150,41
2014,NY0350200,272,104,11,4,230,12,1,1,577,43,59,5,866,60,124,30
2015,NY0350200,261,92,12,2,211,15,4,1,543,51,43,8,797,74,128,28
2016,NY0350200,250,100,9,0,206,15,6,4,626,38,53,4,885,57,125,31
2017,NY0350200,217,129,8,1,160,13,6,4,546,45,41,10,747,68,101,29
2018,NY0350200,201,116,8,2,141,24,2,0,475,50,41,9,657,83,102,22
