year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NY0510100,2630,1006,32,3,1181,292,1271,644,36983,4779,1025,156,9551,1364,24329,3158,3103,257
1986,NY0510100,2595,1128,30,12,1188,347,1241,695,37507,5615,1238,154,10193,1457,23864,3894,3450,264
1987,NY0510100,2817,1261,36,3,1251,383,1336,763,43304,6912,1203,128,10071,1457,28896,5000,4337,455
1988,NY0510100,2984,1352,31,5,1110,335,1713,935,38360,5707,1144,104,8765,1172,25095,4186,4500,349
1989,NY0510100,2844,1327,29,5,1286,457,1402,787,47398,6849,1035,76,11152,1264,29221,4861,7025,724
1990,NY0510100,3012,1214,32,2,1419,403,1433,738,50736,6976,1484,103,11158,1061,31816,5182,7762,733
1991,NY0510100,3122,1035,41,12,1597,365,1384,597,55474,6713,1392,86,12069,1052,34602,4939,8803,722
1992,NY0510100,3472,1246,49,10,1773,469,1575,722,46489,6262,1590,73,11592,1023,25781,4526,9116,713
1993,NY0510100,3138,0,44,0,1697,0,1332,0,40861,0,1107,77,10487,0,22394,0,7980,0
1994,NY0510100,1160,398,25,6,545,105,575,272,17775,2097,483,23,3677,318,11733,1573,2365,206
1995,NY0510100,792,330,8,4,355,115,418,196,14362,2083,407,28,2316,283,10441,1615,1605,185
1996,NY0510100,2068,690,39,14,946,271,1045,382,36609,5711,896,38,5970,687,27042,4567,3597,457
1997,NY0510100,1704,549,26,16,719,189,931,330,30194,4764,814,52,5134,638,22317,3748,2743,378
1998,NY0510100,656,162,10,3,268,57,367,97,10371,1699,256,15,1697,168,7687,1461,987,70
2002,NY0510100,2496,1461,17,12,907,330,1429,1019,27630,5777,455,34,4159,657,20587,4432,2884,688
2003,NY0510100,2401,1331,31,9,958,320,1300,912,26883,5324,395,48,4091,520,19959,4189,2833,615
2004,NY0510100,2268,1096,28,7,845,218,1286,806,24421,4336,351,41,3537,388,18325,3497,2559,451
2005,NY0510100,2446,835,28,6,1037,174,1299,618,24096,3384,245,38,3509,296,18372,2752,2215,336
2006,NY0510100,2481,1237,37,13,1027,307,1331,871,24811,4666,268,44,3373,361,19110,3860,2328,445
2007,NY0510100,2205,1075,28,14,874,244,1214,760,24039,4666,301,64,3360,357,18583,3858,2096,451
2008,NY0510100,2166,1171,39,26,890,287,1146,782,26235,5929,265,46,3805,535,20490,4934,1940,460
2009,NY0510100,2267,1205,32,14,960,304,1213,833,25199,6327,237,43,3740,544,19952,5432,1507,351
2010,NY0510100,2031,881,50,6,814,206,1112,644,25515,5535,201,24,4031,358,20038,4877,1446,300
2011,NY0510100,1862,801,32,10,748,147,1040,617,24935,5361,169,20,4342,339,19424,4796,1169,226
2012,NY0510100,1790,867,23,10,681,161,1044,664,22431,4984,148,33,3699,369,17686,4399,1046,216
2013,NY0510100,1599,766,27,7,620,156,930,587,20581,5197,147,43,2979,319,16551,4602,1051,276
2014,NY0510100,1576,809,29,11,567,148,869,559,20954,5282,99,20,2904,398,16919,4590,1131,294
2015,NY0510100,1737,823,25,8,677,159,895,541,19196,4752,129,20,2109,265,15906,4198,1181,289
2016,NY0510100,1577,831,33,8,541,152,894,572,18254,4630,109,16,1743,221,15432,4165,1079,244
2017,NY0510100,1427,822,22,7,473,163,868,605,16996,4454,87,13,1423,210,14565,3964,1008,280
2018,NY0510100,1134,683,22,8,375,155,698,491,15235,4491,81,31,955,153,13396,4092,884,246
