Series,Year,Rate
1985,Male Officers,2534
1985,Female Officers,71
1985,Male Civilians,156
1985,Female Civilians,311
1986,Male Officers,2501
1986,Female Officers,81
1986,Male Civilians,144
1986,Female Civilians,330
1987,Male Officers,2501
1987,Female Officers,81
1987,Male Civilians,144
1987,Female Civilians,330
1988,Male Officers,2501
1988,Female Officers,81
1988,Male Civilians,144
1988,Female Civilians,330
1989,Male Officers,2501
1989,Female Officers,81
1989,Male Civilians,144
1989,Female Civilians,330
1990,Male Officers,2400
1990,Female Officers,174
1990,Male Civilians,70
1990,Female Civilians,321
1991,Male Officers,2400
1991,Female Officers,174
1991,Male Civilians,70
1991,Female Civilians,321
1992,Male Officers,2169
1992,Female Officers,197
1992,Male Civilians,499
1992,Female Civilians,0
1993,Male Officers,2177
1993,Female Officers,209
1993,Male Civilians,524
1993,Female Civilians,0
1994,Male Officers,2344
1994,Female Officers,237
1994,Male Civilians,174
1994,Female Civilians,389
1995,Male Officers,2458
1995,Female Officers,252
1995,Male Civilians,252
1995,Female Civilians,348
1996,Male Officers,2496
1996,Female Officers,264
1996,Male Civilians,587
1996,Female Civilians,0
1997,Male Officers,2445
1997,Female Officers,259
1997,Male Civilians,545
1997,Female Civilians,0
1998,Male Officers,2389
1998,Female Officers,255
1998,Male Civilians,131
1998,Female Civilians,404
1999,Male Officers,2389
1999,Female Officers,255
1999,Male Civilians,131
1999,Female Civilians,404
2000,Male Officers,2376
2000,Female Officers,272
2000,Male Civilians,159
2000,Female Civilians,372
2001,Male Officers,2381
2001,Female Officers,291
2001,Male Civilians,147
2001,Female Civilians,416
2002,Male Officers,2389
2002,Female Officers,255
2002,Male Civilians,131
2002,Female Civilians,404
2003,Male Officers,2478
2003,Female Officers,330
2003,Male Civilians,165
2003,Female Civilians,424
2004,Male Officers,2369
2004,Female Officers,322
2004,Male Civilians,160
2004,Female Civilians,413
2005,Male Officers,2435
2005,Female Officers,330
2005,Male Civilians,172
2005,Female Civilians,417
2006,Male Officers,2407
2006,Female Officers,318
2006,Male Civilians,180
2006,Female Civilians,433
2007,Male Officers,2334
2007,Female Officers,308
2007,Male Civilians,169
2007,Female Civilians,416
2008,Male Officers,2317
2008,Female Officers,303
2008,Male Civilians,172
2008,Female Civilians,413
2009,Male Officers,2251
2009,Female Officers,286
2009,Male Civilians,177
2009,Female Civilians,409
2010,Male Officers,2225
2010,Female Officers,285
2010,Male Civilians,179
2010,Female Civilians,428
2011,Male Officers,2215
2011,Female Officers,280
2011,Male Civilians,178
2011,Female Civilians,421
2012,Male Officers,2152
2012,Female Officers,262
2012,Male Civilians,163
2012,Female Civilians,383
2013,Male Officers,2101
2013,Female Officers,251
2013,Male Civilians,174
2013,Female Civilians,380
2014,Male Officers,2119
2014,Female Officers,238
2014,Male Civilians,174
2014,Female Civilians,367
2015,Male Officers,2184
2015,Female Officers,256
2015,Male Civilians,171
2015,Female Civilians,355
2016,Male Officers,2260
2016,Female Officers,261
2016,Male Civilians,170
2016,Female Civilians,349
2017,Male Officers,2254
2017,Female Officers,282
2017,Male Civilians,163
2017,Female Civilians,369
2018,Male Officers,2231
2018,Female Officers,288
2018,Male Civilians,156
2018,Female Civilians,352
