Label,Value,Year
Reported,22,1985
Cleared,1,1985
Reported,27,1986
Cleared,3,1986
Reported,26,1987
Cleared,3,1987
Reported,29,1988
Cleared,1,1988
Reported,20,1989
Cleared,4,1989
Reported,27,1990
Cleared,3,1990
Reported,23,1991
Cleared,0,1991
Reported,26,1992
Cleared,2,1992
Reported,20,1993
Cleared,1,1993
Reported,17,1994
Cleared,6,1994
Reported,11,1995
Cleared,0,1995
Reported,12,1996
Cleared,2,1996
Reported,19,1997
Cleared,0,1997
Reported,7,1998
Cleared,0,1998
Reported,10,1999
Cleared,0,1999
Reported,15,2000
Cleared,1,2000
Reported,23,2001
Cleared,0,2001
Reported,7,2002
Cleared,1,2002
Reported,7,2003
Cleared,1,2003
Reported,7,2004
Cleared,1,2004
Reported,6,2005
Cleared,0,2005
Reported,4,2006
Cleared,0,2006
Reported,2,2007
Cleared,1,2007
Reported,4,2008
Cleared,2,2008
Reported,5,2009
Cleared,0,2009
Reported,14,2010
Cleared,0,2010
Reported,9,2011
Cleared,1,2011
Reported,4,2012
Cleared,0,2012
Reported,12,2013
Cleared,0,2013
Reported,13,2014
Cleared,1,2014
Reported,6,2015
Cleared,0,2015
Reported,7,2016
Cleared,1,2016
Reported,6,2017
Cleared,1,2017
Reported,2,2018
Cleared,0,2018
