year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,NY0513600,1,1,0,0,4,1,0,0,18,0,0,0,22,1,0,0
1986,NY0513600,0,0,0,0,3,0,0,0,21,0,3,3,27,3,0,0
1987,NY0513600,0,0,0,0,3,0,0,0,21,1,2,2,26,3,0,0
1988,NY0513600,0,0,0,0,3,0,0,0,26,1,0,0,29,1,0,0
1989,NY0513600,0,0,0,0,1,0,0,0,16,1,3,3,20,4,0,0
1990,NY0513600,0,0,0,0,4,0,0,0,21,1,2,2,27,3,0,0
1991,NY0513600,1,1,0,0,6,0,0,0,17,0,0,0,23,0,0,0
1992,NY0513600,0,0,0,0,1,0,0,0,25,2,0,0,26,2,0,0
1993,NY0513600,0,0,0,0,1,0,0,0,19,1,0,0,20,1,0,0
1994,NY0513600,0,0,0,0,5,4,0,0,11,1,1,1,17,6,0,0
1995,NY0513600,0,0,0,0,1,0,0,0,10,0,0,0,11,0,0,0
1996,NY0513600,0,0,0,0,3,1,0,0,9,1,0,0,12,2,0,0
1997,NY0513600,1,0,0,0,6,0,0,0,12,0,1,0,19,0,0,0
1998,NY0513600,0,0,0,0,3,0,0,0,3,0,1,0,7,0,0,0
1999,NY0513600,1,0,0,0,2,0,0,0,8,0,0,0,10,0,0,0
2000,NY0513600,2,1,0,0,2,0,0,0,12,0,1,1,15,1,0,0
2001,NY0513600,1,0,0,0,4,0,0,0,18,0,1,0,23,0,0,0
2002,NY0513600,0,0,0,0,0,0,0,0,6,0,1,1,7,1,0,0
2003,NY0513600,0,1,0,0,1,0,0,0,6,1,0,0,7,1,0,0
2004,NY0513600,0,0,0,0,1,0,0,0,5,0,1,1,7,1,0,0
2005,NY0513600,0,0,0,0,1,0,0,0,5,0,0,0,6,0,0,0
2006,NY0513600,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0
2007,NY0513600,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0
2008,NY0513600,0,0,0,0,0,0,0,0,4,2,0,0,4,2,0,0
2009,NY0513600,0,0,0,0,2,0,0,0,2,0,1,0,5,0,0,0
2010,NY0513600,0,0,0,0,2,0,0,0,12,0,0,0,14,0,0,0
2011,NY0513600,0,0,0,0,3,1,0,0,6,0,0,0,9,1,0,0
2012,NY0513600,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0
2013,NY0513600,1,0,1,1,0,0,0,0,11,0,1,0,12,0,0,0
2014,NY0513600,0,0,0,0,2,1,0,0,11,0,0,0,13,1,0,0
2015,NY0513600,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0
2016,NY0513600,0,0,0,0,0,0,0,0,7,1,0,0,7,1,0,0
2017,NY0513600,0,0,0,0,0,0,0,0,6,1,0,0,6,1,0,0
2018,NY0513600,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
