Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,0,1986
Cleared,0,1986
Reported,3,1987
Cleared,2,1987
Reported,1,1988
Cleared,1,1988
Reported,0,1989
Cleared,0,1989
Reported,0,1990
Cleared,0,1990
Reported,3,1991
Cleared,3,1991
Reported,2,1992
Cleared,1,1992
Reported,1,1993
Cleared,1,1993
Reported,4,1994
Cleared,0,1994
Reported,9,1995
Cleared,3,1995
Reported,13,1996
Cleared,5,1996
Reported,8,1997
Cleared,5,1997
Reported,4,1998
Cleared,2,1998
Reported,4,1999
Cleared,1,1999
Reported,5,2000
Cleared,3,2000
Reported,2,2001
Cleared,0,2001
Reported,3,2002
Cleared,2,2002
Reported,1,2003
Cleared,0,2003
Reported,2,2004
Cleared,1,2004
Reported,1,2005
Cleared,1,2005
Reported,0,2006
Cleared,0,2006
Reported,1,2007
Cleared,0,2007
Reported,0,2008
Cleared,0,2008
Reported,3,2009
Cleared,3,2009
Reported,0,2010
Cleared,0,2010
Reported,1,2011
Cleared,1,2011
Reported,4,2012
Cleared,0,2012
Reported,1,2013
Cleared,0,2013
Reported,1,2014
Cleared,0,2014
Reported,0,2015
Cleared,0,2015
Reported,1,2016
Cleared,1,2016
Reported,1,2017
Cleared,1,2017
Reported,1,2018
Cleared,1,2018
