Label,Value,Year
Reported,254,1985
Cleared,164,1985
Reported,215,1986
Cleared,119,1986
Reported,243,1987
Cleared,154,1987
Reported,212,1988
Cleared,79,1988
Reported,404,1989
Cleared,250,1989
Reported,570,1990
Cleared,240,1990
Reported,666,1991
Cleared,219,1991
Reported,694,1992
Cleared,249,1992
Reported,790,1993
Cleared,332,1993
Reported,678,1994
Cleared,313,1994
Reported,636,1995
Cleared,573,1995
Reported,603,1996
Cleared,799,1996
Reported,572,1997
Cleared,975,1997
Reported,609,1998
Cleared,343,1998
Reported,494,1999
Cleared,155,1999
Reported,459,2000
Cleared,200,2000
Reported,483,2001
Cleared,118,2001
Reported,502,2002
Cleared,121,2002
Reported,299,2003
Cleared,93,2003
Reported,217,2004
Cleared,81,2004
Reported,304,2005
Cleared,63,2005
Reported,529,2006
Cleared,0,2006
Reported,413,2007
Cleared,0,2007
Reported,468,2008
Cleared,199,2008
Reported,383,2009
Cleared,165,2009
Reported,177,2010
Cleared,81,2010
Reported,331,2011
Cleared,81,2011
Reported,315,2012
Cleared,47,2012
Reported,288,2013
Cleared,59,2013
Reported,293,2014
Cleared,77,2014
Reported,203,2015
Cleared,57,2015
Reported,187,2016
Cleared,61,2016
Reported,156,2017
Cleared,60,2017
Reported,133,2018
Cleared,40,2018
