Label,Value,Year
Reported,37,1985
Cleared,23,1985
Reported,35,1986
Cleared,22,1986
Reported,37,1987
Cleared,19,1987
Reported,23,1988
Cleared,11,1988
Reported,27,1989
Cleared,24,1989
Reported,9,1990
Cleared,8,1990
Reported,16,1991
Cleared,14,1991
Reported,24,1992
Cleared,12,1992
Reported,17,1993
Cleared,10,1993
Reported,20,1994
Cleared,6,1994
Reported,12,1995
Cleared,10,1995
Reported,5,1996
Cleared,10,1996
Reported,11,1997
Cleared,15,1997
Reported,13,1998
Cleared,6,1998
Reported,5,1999
Cleared,2,1999
Reported,8,2000
Cleared,6,2000
Reported,13,2001
Cleared,7,2001
Reported,13,2002
Cleared,6,2002
Reported,9,2003
Cleared,6,2003
Reported,6,2004
Cleared,4,2004
Reported,8,2005
Cleared,6,2005
Reported,8,2006
Cleared,0,2006
Reported,7,2007
Cleared,0,2007
Reported,6,2008
Cleared,4,2008
Reported,7,2009
Cleared,1,2009
Reported,3,2010
Cleared,2,2010
Reported,11,2011
Cleared,4,2011
Reported,6,2012
Cleared,2,2012
Reported,5,2013
Cleared,1,2013
Reported,6,2014
Cleared,2,2014
Reported,6,2015
Cleared,1,2015
Reported,1,2016
Cleared,0,2016
Reported,6,2017
Cleared,4,2017
Reported,4,2018
Cleared,2,2018
