year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NY0560100,11,7,0,0,6,3,3,3,372,234,0,0,81,47,254,164,37,23
1986,NY0560100,9,7,0,0,4,2,5,5,357,203,0,0,107,62,215,119,35,22
1987,NY0560100,11,10,0,0,4,3,6,6,410,223,3,2,130,50,243,154,37,19
1988,NY0560100,21,21,0,0,1,1,20,20,342,126,1,1,107,36,212,79,23,11
1989,NY0560100,171,153,0,0,3,3,166,148,505,316,0,0,74,42,404,250,27,24
1990,NY0560100,266,202,2,2,7,6,249,186,701,285,0,0,122,37,570,240,9,8
1991,NY0560100,267,205,0,0,2,1,258,197,785,276,3,3,103,43,666,219,16,14
1992,NY0560100,322,275,0,0,8,7,311,266,834,292,2,1,116,31,694,249,24,12
1993,NY0560100,269,243,0,0,12,10,247,226,1003,397,1,1,196,55,790,332,17,10
1994,NY0560100,236,261,0,0,5,3,230,258,844,349,4,0,146,30,678,313,20,6
1995,NY0560100,217,264,0,0,12,10,200,249,822,668,9,3,174,85,636,573,12,10
1996,NY0560100,156,252,1,2,7,7,147,243,793,898,13,5,185,89,603,799,5,10
1997,NY0560100,72,144,0,0,5,4,65,137,730,1066,8,5,147,76,572,975,11,15
1998,NY0560100,65,63,0,0,7,6,57,56,738,397,4,2,116,48,609,343,13,6
1999,NY0560100,47,38,0,0,7,4,39,33,595,181,4,1,96,24,494,155,5,2
2000,NY0560100,40,41,0,1,2,1,35,35,560,232,5,3,93,26,459,200,8,6
2001,NY0560100,41,39,0,0,8,4,30,33,594,162,2,0,98,37,483,118,13,7
2002,NY0560100,36,26,0,1,4,4,30,21,632,153,3,2,117,26,502,121,13,6
2003,NY0560100,35,28,0,1,6,4,28,23,367,112,1,0,59,13,299,93,9,6
2004,NY0560100,13,13,0,0,3,2,9,10,261,97,2,1,38,12,217,81,6,4
2005,NY0560100,20,18,2,1,5,3,13,14,367,92,1,1,55,23,304,63,8,6
2006,NY0560100,26,0,0,0,8,0,16,0,616,0,0,0,79,0,529,0,8,0
2007,NY0560100,18,0,1,0,5,0,10,0,471,0,1,0,51,0,413,0,7,0
2008,NY0560100,16,13,0,0,1,1,15,12,520,220,0,0,46,17,468,199,6,4
2009,NY0560100,19,17,0,0,5,6,14,11,425,184,3,3,35,18,383,165,7,1
2010,NY0560100,42,40,0,0,3,3,37,37,209,95,0,0,29,12,177,81,3,2
2011,NY0560100,44,39,0,0,5,2,37,36,410,102,1,1,68,17,331,81,11,4
2012,NY0560100,43,34,1,1,2,1,37,31,372,61,4,0,51,12,315,47,6,2
2013,NY0560100,22,19,0,0,3,3,17,16,343,69,1,0,50,9,288,59,5,1
2014,NY0560100,26,19,0,0,3,2,13,12,338,88,1,0,39,9,293,77,6,2
2015,NY0560100,36,30,0,0,3,2,22,22,236,64,0,0,27,6,203,57,6,1
2016,NY0560100,33,30,1,1,3,3,24,22,220,72,1,1,32,11,187,61,1,0
2017,NY0560100,29,21,2,1,3,2,23,17,190,78,1,1,28,14,156,60,6,4
2018,NY0560100,24,19,1,1,2,2,15,14,150,47,1,1,13,5,133,40,4,2
