year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
2005,OH0451300,0,0,0,0,7,0,0,0,21,0,4,0,32,0,0,0,0,0
2007,OH0451300,1,1,0,0,1,0,0,0,21,0,0,0,22,0,0,0,1,1
2008,OH0451300,0,0,0,0,3,0,1,1,8,2,0,0,11,2,0,0,2,2
2009,OH0451300,0,0,1,1,18,1,0,0,29,2,0,0,47,3,1,0,1,0
2010,OH0451300,1,0,0,0,8,1,0,0,51,1,7,0,66,2,0,0,2,0
2011,OH0451300,2,2,0,0,9,1,0,0,42,6,0,0,51,7,0,0,2,2
2012,OH0451300,2,0,0,0,8,0,0,0,67,2,2,0,77,2,1,0,3,0
2013,OH0451300,2,0,0,0,12,0,0,0,54,0,5,0,71,0,0,0,3,0
2014,OH0451300,3,1,0,0,5,0,0,0,29,0,0,0,34,0,1,0,4,1
2015,OH0451300,0,0,0,0,1,0,0,0,14,1,0,0,15,1,0,0,1,0
2016,OH0451300,3,0,0,0,4,0,1,0,14,0,1,0,19,0,0,0,5,0
2017,OH0451300,3,0,0,0,7,0,0,0,20,1,1,1,28,2,0,0,3,0
2018,OH0451300,3,0,0,0,5,0,0,0,11,1,2,0,18,1,0,0,3,0
