Label,Value,Year
Reported,1,1985
Cleared,0,1985
Reported,1,1986
Cleared,0,1986
Reported,3,1987
Cleared,0,1987
Reported,1,1988
Cleared,0,1988
Reported,3,1989
Cleared,0,1989
Reported,0,1990
Cleared,0,1990
Reported,1,1991
Cleared,0,1991
Reported,0,2008
Cleared,0,2008
Reported,6,2009
Cleared,0,2009
Reported,1,2010
Cleared,0,2010
Reported,1,2011
Cleared,0,2011
Reported,0,2012
Cleared,0,2012
Reported,5,2013
Cleared,0,2013
Reported,1,2014
Cleared,1,2014
Reported,8,2015
Cleared,2,2015
Reported,3,2016
Cleared,0,2016
Reported,4,2017
Cleared,0,2017
Reported,1,2018
Cleared,0,2018
