Label,Value,Year
Reported,28,1985
Cleared,0,1985
Reported,26,1986
Cleared,0,1986
Reported,38,1987
Cleared,0,1987
Reported,20,1988
Cleared,0,1988
Reported,13,1989
Cleared,0,1989
Reported,1,1990
Cleared,0,1990
Reported,1,1991
Cleared,0,1991
Reported,1,2008
Cleared,0,2008
Reported,21,2009
Cleared,1,2009
Reported,12,2010
Cleared,0,2010
Reported,10,2011
Cleared,0,2011
Reported,3,2012
Cleared,0,2012
Reported,13,2013
Cleared,0,2013
Reported,10,2014
Cleared,1,2014
Reported,32,2015
Cleared,2,2015
Reported,15,2016
Cleared,0,2016
Reported,12,2017
Cleared,0,2017
Reported,7,2018
Cleared,0,2018
