year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,OH0691100,0,0,0,0,0,0,0,0,28,0,0,0,1,0,26,0,1,0
1986,OH0691100,0,0,0,0,0,0,0,0,26,0,0,0,1,0,25,0,0,0
1987,OH0691100,0,0,0,0,0,0,0,0,38,0,0,0,3,0,34,0,1,0
1988,OH0691100,1,1,0,0,0,0,1,1,20,0,0,0,1,0,18,0,1,0
1989,OH0691100,0,0,0,0,0,0,0,0,13,0,0,0,3,0,10,0,0,0
1990,OH0691100,2,2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1991,OH0691100,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2008,OH0691100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2009,OH0691100,0,0,0,0,0,0,0,0,21,1,1,0,6,0,15,1,0,0
2010,OH0691100,0,0,0,0,0,0,0,0,12,0,0,0,1,0,11,0,0,0
2011,OH0691100,1,0,0,0,0,0,1,0,10,0,1,1,1,0,9,0,0,0
2012,OH0691100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
2013,OH0691100,1,0,0,0,0,0,1,0,13,0,0,0,5,0,7,0,1,0
2014,OH0691100,0,0,0,0,0,0,0,0,10,1,0,0,1,1,9,0,0,0
2015,OH0691100,0,0,0,0,0,0,0,0,32,2,0,0,8,2,23,0,1,0
2016,OH0691100,1,0,0,0,0,0,1,0,15,0,0,0,3,0,11,0,1,0
2017,OH0691100,1,0,0,0,0,0,1,0,12,0,0,0,4,0,8,0,0,0
2018,OH0691100,2,0,0,0,0,0,2,0,7,0,0,0,1,0,4,0,2,0
