Label,Value,Year
Reported,41,1985
Cleared,2,1985
Reported,42,1986
Cleared,4,1986
Reported,22,1987
Cleared,4,1987
Reported,45,1988
Cleared,3,1988
Reported,23,1989
Cleared,4,1989
Reported,17,1990
Cleared,3,1990
Reported,14,1991
Cleared,3,1991
Reported,8,1992
Cleared,2,1992
Reported,16,1993
Cleared,3,1993
Reported,16,1994
Cleared,2,1994
Reported,14,1995
Cleared,2,1995
Reported,22,1996
Cleared,7,1996
Reported,13,1997
Cleared,2,1997
Reported,30,1998
Cleared,5,1998
Reported,14,1999
Cleared,1,1999
Reported,3,2000
Cleared,1,2000
Reported,7,2001
Cleared,2,2001
Reported,6,2002
Cleared,0,2002
Reported,5,2003
Cleared,2,2003
Reported,11,2004
Cleared,0,2004
Reported,12,2005
Cleared,1,2005
Reported,20,2006
Cleared,3,2006
Reported,21,2007
Cleared,1,2007
Reported,20,2008
Cleared,0,2008
Reported,6,2009
Cleared,0,2009
Reported,4,2010
Cleared,1,2010
Reported,0,2011
Cleared,0,2011
Reported,2,2012
Cleared,0,2012
Reported,0,2013
Cleared,0,2013
Reported,2,2014
Cleared,1,2014
Reported,1,2015
Cleared,0,2015
Reported,9,2016
Cleared,1,2016
Reported,17,2017
Cleared,1,2017
Reported,21,2018
Cleared,0,2018
