Label,Value,Year
Reported,26,1985
Cleared,0,1985
Reported,42,1986
Cleared,4,1986
Reported,40,1987
Cleared,0,1987
Reported,68,1988
Cleared,1,1988
Reported,43,1989
Cleared,4,1989
Reported,24,1990
Cleared,2,1990
Reported,11,1991
Cleared,1,1991
Reported,29,1992
Cleared,15,1992
Reported,53,1993
Cleared,15,1993
Reported,21,1994
Cleared,5,1994
Reported,24,1995
Cleared,4,1995
Reported,43,1996
Cleared,5,1996
Reported,41,1997
Cleared,4,1997
Reported,56,1998
Cleared,5,1998
Reported,58,1999
Cleared,18,1999
Reported,39,2000
Cleared,8,2000
Reported,28,2001
Cleared,9,2001
Reported,20,2002
Cleared,4,2002
Reported,28,2003
Cleared,9,2003
Reported,26,2004
Cleared,12,2004
Reported,19,2005
Cleared,1,2005
Reported,31,2006
Cleared,1,2006
Reported,12,2007
Cleared,0,2007
Reported,16,2008
Cleared,0,2008
Reported,28,2009
Cleared,2,2009
Reported,9,2010
Cleared,1,2010
Reported,24,2011
Cleared,0,2011
Reported,11,2012
Cleared,0,2012
Reported,14,2013
Cleared,0,2013
Reported,12,2014
Cleared,0,2014
Reported,3,2015
Cleared,0,2015
Reported,25,2016
Cleared,0,2016
Reported,37,2017
Cleared,9,2017
Reported,25,2018
Cleared,2,2018
