Label,Value,Year
Reported,68,1985
Cleared,3,1985
Reported,84,1986
Cleared,8,1986
Reported,62,1987
Cleared,4,1987
Reported,117,1988
Cleared,4,1988
Reported,74,1989
Cleared,10,1989
Reported,43,1990
Cleared,5,1990
Reported,29,1991
Cleared,6,1991
Reported,39,1992
Cleared,19,1992
Reported,71,1993
Cleared,18,1993
Reported,39,1994
Cleared,9,1994
Reported,41,1995
Cleared,8,1995
Reported,66,1996
Cleared,13,1996
Reported,57,1997
Cleared,8,1997
Reported,90,1998
Cleared,13,1998
Reported,73,1999
Cleared,19,1999
Reported,42,2000
Cleared,9,2000
Reported,36,2001
Cleared,11,2001
Reported,28,2002
Cleared,6,2002
Reported,35,2003
Cleared,12,2003
Reported,44,2004
Cleared,18,2004
Reported,32,2005
Cleared,2,2005
Reported,53,2006
Cleared,4,2006
Reported,33,2007
Cleared,1,2007
Reported,38,2008
Cleared,0,2008
Reported,34,2009
Cleared,2,2009
Reported,13,2010
Cleared,2,2010
Reported,24,2011
Cleared,0,2011
Reported,13,2012
Cleared,0,2012
Reported,15,2013
Cleared,0,2013
Reported,14,2014
Cleared,1,2014
Reported,4,2015
Cleared,0,2015
Reported,37,2016
Cleared,2,2016
Reported,56,2017
Cleared,10,2017
Reported,51,2018
Cleared,4,2018
