year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,OK0170100,0,0,0,0,41,2,0,0,26,0,1,1,68,3,0,0
1986,OK0170100,2,2,0,0,42,4,0,0,42,4,0,0,84,8,0,0
1987,OK0170100,5,2,0,0,22,4,0,0,40,0,0,0,62,4,1,1
1988,OK0170100,3,3,0,0,45,3,0,0,68,1,4,0,117,4,0,0
1989,OK0170100,12,2,0,0,23,4,0,0,43,4,8,2,74,10,0,0
1990,OK0170100,17,11,0,0,17,3,0,0,24,2,2,0,43,5,0,0
1991,OK0170100,18,12,0,0,14,3,0,0,11,1,4,2,29,6,0,0
1992,OK0170100,11,6,0,0,8,2,0,0,29,15,2,2,39,19,0,0
1993,OK0170100,16,11,0,0,16,3,0,0,53,15,2,0,71,18,1,1
1994,OK0170100,7,6,1,1,16,2,0,0,21,5,2,2,39,9,0,0
1995,OK0170100,4,1,0,0,14,2,0,0,24,4,3,2,41,8,0,0
1996,OK0170100,6,6,0,0,22,7,0,0,43,5,1,1,66,13,0,0
1997,OK0170100,8,6,0,0,13,2,0,0,41,4,3,2,57,8,0,0
1998,OK0170100,2,2,0,0,30,5,0,0,56,5,4,3,90,13,1,1
1999,OK0170100,10,10,0,0,14,1,0,0,58,18,1,0,73,19,0,0
2000,OK0170100,15,14,2,0,3,1,0,0,39,8,0,0,42,9,0,0
2001,OK0170100,9,9,0,0,7,2,0,0,28,9,1,0,36,11,0,0
2002,OK0170100,7,7,0,0,6,0,0,0,20,4,2,2,28,6,0,0
2003,OK0170100,4,4,0,0,5,2,0,0,28,9,2,1,35,12,0,0
2004,OK0170100,8,8,0,0,11,0,0,0,26,12,7,6,44,18,0,0
2005,OK0170100,14,8,0,0,12,1,0,0,19,1,1,0,32,2,1,0
2006,OK0170100,8,7,0,0,20,3,1,1,31,1,2,0,53,4,0,0
2007,OK0170100,1,0,0,0,21,1,0,0,12,0,0,0,33,1,1,0
2008,OK0170100,3,1,0,0,20,0,0,0,16,0,2,0,38,0,0,0
2009,OK0170100,4,3,0,0,6,0,0,0,28,2,0,0,34,2,0,0
2010,OK0170100,1,1,0,0,4,1,0,0,9,1,0,0,13,2,0,0
2011,OK0170100,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0
2012,OK0170100,0,0,0,0,2,0,0,0,11,0,0,0,13,0,0,0
2013,OK0170100,1,1,0,0,0,0,0,0,14,0,1,0,15,0,0,0
2014,OK0170100,0,0,0,0,2,1,0,0,12,0,0,0,14,1,0,0
2015,OK0170100,1,1,0,0,1,0,0,0,3,0,0,0,4,0,0,0
2016,OK0170100,0,0,1,0,9,1,0,0,25,0,3,1,37,2,0,0
2017,OK0170100,2,2,1,0,17,1,0,0,37,9,2,0,56,10,0,0
2018,OK0170100,4,4,0,0,21,0,0,0,25,2,5,2,51,4,0,0
