ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
OK0700200,2018,5,2,0,1,0,0,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
OK0700200,2017,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
OK0700200,2016,1,2,0,0,0,0,3,4,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0
OK0700200,2015,0,2,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
OK0700200,2014,2,0,0,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OK0700200,2013,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OK0700200,2012,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
OK0700200,2011,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,2009,0,6,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
OK0700200,2008,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,2007,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,2,1
OK0700200,2006,4,5,0,2,0,2,4,7,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,5,0
OK0700200,2005,0,0,0,4,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
OK0700200,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,2003,0,4,1,0,0,0,7,3,3,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,1,4,0,0,0,1,0
OK0700200,2002,0,4,0,6,0,0,6,3,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
OK0700200,2001,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,2,0,0,0,2,0
OK0700200,2000,1,6,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0
OK0700200,1999,1,7,0,4,0,0,8,1,1,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,3,0,0,0,0,0
OK0700200,1998,3,10,0,2,0,0,2,3,8,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,9,0,0,0,9,1
OK0700200,1997,3,14,0,2,2,1,7,24,5,0,0,0,0,0,0,5,17,0,5,0,0,0,1,0,1,8,2,0,0,6,1
OK0700200,1996,5,17,0,21,32,9,5,19,8,0,3,0,0,0,0,5,26,0,1,0,0,0,0,0,1,10,8,0,0,10,3
OK0700200,1995,1,5,0,1,2,0,6,9,10,0,1,0,0,0,0,4,9,0,0,0,0,0,0,0,2,1,1,0,0,0,0
OK0700200,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK0700200,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
