Label,Value,Year
Reported,12,1985
Cleared,5,1985
Reported,7,1986
Cleared,5,1986
Reported,2,1987
Cleared,1,1987
Reported,9,1988
Cleared,9,1988
Reported,6,1989
Cleared,4,1989
Reported,12,1990
Cleared,8,1990
Reported,28,1991
Cleared,21,1991
Reported,35,1992
Cleared,30,1992
Reported,43,1993
Cleared,38,1993
Reported,48,1994
Cleared,37,1994
Reported,61,1995
Cleared,46,1995
Reported,31,1996
Cleared,29,1996
Reported,20,1997
Cleared,15,1997
Reported,9,1998
Cleared,7,1998
Reported,1,1999
Cleared,1,1999
Reported,11,2000
Cleared,9,2000
Reported,1,2001
Cleared,1,2001
Reported,3,2002
Cleared,1,2002
Reported,7,2003
Cleared,4,2003
Reported,18,2004
Cleared,11,2004
Reported,15,2005
Cleared,12,2005
Reported,15,2006
Cleared,13,2006
Reported,6,2007
Cleared,6,2007
Reported,0,2008
Cleared,0,2008
Reported,6,2009
Cleared,3,2009
Reported,2,2010
Cleared,1,2010
Reported,6,2011
Cleared,4,2011
Reported,1,2012
Cleared,0,2012
Reported,3,2013
Cleared,1,2013
Reported,5,2014
Cleared,3,2014
Reported,3,2015
Cleared,1,2015
Reported,5,2016
Cleared,3,2016
Reported,13,2017
Cleared,12,2017
Reported,17,2018
Cleared,11,2018
