Label,Value,Year
Reported,151,1985
Cleared,16,1985
Reported,125,1986
Cleared,8,1986
Reported,137,1987
Cleared,11,1987
Reported,160,1988
Cleared,14,1988
Reported,73,1989
Cleared,15,1989
Reported,83,1990
Cleared,20,1990
Reported,77,1991
Cleared,5,1991
Reported,70,1992
Cleared,8,1992
Reported,66,1993
Cleared,13,1993
Reported,77,1994
Cleared,8,1994
Reported,77,1995
Cleared,19,1995
Reported,69,1996
Cleared,14,1996
Reported,104,1997
Cleared,12,1997
Reported,70,1998
Cleared,9,1998
Reported,71,1999
Cleared,16,1999
Reported,66,2000
Cleared,17,2000
Reported,109,2001
Cleared,16,2001
Reported,78,2002
Cleared,14,2002
Reported,71,2003
Cleared,5,2003
Reported,54,2004
Cleared,8,2004
Reported,52,2005
Cleared,9,2005
Reported,61,2006
Cleared,13,2006
Reported,36,2007
Cleared,3,2007
Reported,30,2008
Cleared,4,2008
Reported,23,2009
Cleared,1,2009
Reported,45,2010
Cleared,5,2010
Reported,29,2011
Cleared,2,2011
Reported,34,2012
Cleared,5,2012
Reported,36,2013
Cleared,1,2013
Reported,17,2014
Cleared,2,2014
Reported,9,2015
Cleared,0,2015
Reported,38,2016
Cleared,6,2016
Reported,29,2017
Cleared,1,2017
Reported,33,2018
Cleared,5,2018
