Label,Value,Year
Reported,219,1985
Cleared,34,1985
Reported,249,1986
Cleared,48,1986
Reported,302,1987
Cleared,37,1987
Reported,228,1988
Cleared,33,1988
Reported,198,1989
Cleared,56,1989
Reported,190,1990
Cleared,48,1990
Reported,187,1991
Cleared,33,1991
Reported,222,1992
Cleared,28,1992
Reported,284,1993
Cleared,65,1993
Reported,304,1994
Cleared,60,1994
Reported,288,1995
Cleared,42,1995
Reported,291,1996
Cleared,50,1996
Reported,517,1997
Cleared,131,1997
Reported,365,1998
Cleared,115,1998
Reported,347,1999
Cleared,72,1999
Reported,309,2000
Cleared,69,2000
Reported,370,2001
Cleared,64,2001
Reported,377,2002
Cleared,59,2002
Reported,339,2003
Cleared,64,2003
Reported,355,2004
Cleared,52,2004
Reported,247,2005
Cleared,37,2005
Reported,226,2006
Cleared,41,2006
Reported,210,2007
Cleared,57,2007
Reported,239,2008
Cleared,74,2008
Reported,237,2009
Cleared,41,2009
Reported,241,2010
Cleared,55,2010
Reported,223,2011
Cleared,50,2011
Reported,211,2012
Cleared,50,2012
Reported,234,2013
Cleared,56,2013
Reported,228,2014
Cleared,65,2014
Reported,31,2015
Cleared,6,2015
Reported,191,2016
Cleared,28,2016
Reported,106,2017
Cleared,21,2017
Reported,193,2018
Cleared,21,2018
