Label,Value,Year
Reported,22,1985
Cleared,4,1985
Reported,19,1986
Cleared,7,1986
Reported,15,1987
Cleared,6,1987
Reported,16,1988
Cleared,7,1988
Reported,15,1989
Cleared,7,1989
Reported,22,1990
Cleared,14,1990
Reported,17,1991
Cleared,7,1991
Reported,27,1992
Cleared,10,1992
Reported,16,1993
Cleared,4,1993
Reported,17,1994
Cleared,3,1994
Reported,24,1995
Cleared,9,1995
Reported,24,1996
Cleared,14,1996
Reported,20,1997
Cleared,4,1997
Reported,20,1998
Cleared,2,1998
Reported,24,1999
Cleared,11,1999
Reported,13,2000
Cleared,3,2000
Reported,27,2001
Cleared,11,2001
Reported,17,2002
Cleared,3,2002
Reported,13,2003
Cleared,5,2003
Reported,19,2004
Cleared,8,2004
Reported,30,2005
Cleared,9,2005
Reported,12,2006
Cleared,2,2006
Reported,16,2007
Cleared,8,2007
Reported,8,2008
Cleared,4,2008
Reported,11,2009
Cleared,5,2009
Reported,9,2010
Cleared,4,2010
Reported,16,2011
Cleared,1,2011
Reported,4,2012
Cleared,0,2012
Reported,9,2013
Cleared,2,2013
Reported,7,2014
Cleared,2,2014
Reported,0,2015
Cleared,0,2015
Reported,14,2016
Cleared,1,2016
Reported,10,2017
Cleared,0,2017
Reported,9,2018
Cleared,0,2018
