Label,Value,Year
Reported,392,1985
Cleared,54,1985
Reported,393,1986
Cleared,63,1986
Reported,454,1987
Cleared,54,1987
Reported,404,1988
Cleared,54,1988
Reported,286,1989
Cleared,78,1989
Reported,295,1990
Cleared,82,1990
Reported,281,1991
Cleared,45,1991
Reported,319,1992
Cleared,46,1992
Reported,366,1993
Cleared,82,1993
Reported,398,1994
Cleared,71,1994
Reported,389,1995
Cleared,70,1995
Reported,384,1996
Cleared,78,1996
Reported,641,1997
Cleared,147,1997
Reported,455,1998
Cleared,126,1998
Reported,442,1999
Cleared,99,1999
Reported,388,2000
Cleared,89,2000
Reported,506,2001
Cleared,91,2001
Reported,472,2002
Cleared,76,2002
Reported,423,2003
Cleared,74,2003
Reported,428,2004
Cleared,68,2004
Reported,329,2005
Cleared,55,2005
Reported,299,2006
Cleared,56,2006
Reported,262,2007
Cleared,68,2007
Reported,277,2008
Cleared,82,2008
Reported,271,2009
Cleared,47,2009
Reported,295,2010
Cleared,64,2010
Reported,268,2011
Cleared,53,2011
Reported,249,2012
Cleared,55,2012
Reported,279,2013
Cleared,59,2013
Reported,252,2014
Cleared,69,2014
Reported,40,2015
Cleared,6,2015
Reported,243,2016
Cleared,35,2016
Reported,145,2017
Cleared,22,2017
Reported,235,2018
Cleared,26,2018
