year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,OR0030900,14,6,0,0,1,1,12,5,392,54,3,2,151,16,219,34,22,4
1986,OR0030900,14,6,0,0,4,1,7,5,393,63,1,0,125,8,249,48,19,7
1987,OR0030900,7,4,0,0,2,2,2,1,454,54,2,1,137,11,302,37,15,6
1988,OR0030900,9,9,0,0,0,0,9,9,404,54,2,1,160,14,228,33,16,7
1989,OR0030900,9,5,0,0,1,0,6,4,286,78,6,1,73,15,198,56,15,7
1990,OR0030900,15,10,0,0,2,1,12,8,295,82,3,3,83,20,190,48,22,14
1991,OR0030900,37,24,0,0,6,1,28,21,281,45,2,0,77,5,187,33,17,7
1992,OR0030900,40,32,0,0,5,2,35,30,319,46,0,0,70,8,222,28,27,10
1993,OR0030900,53,44,0,0,5,2,43,38,366,82,6,1,66,13,284,65,16,4
1994,OR0030900,51,38,0,0,3,1,48,37,398,71,3,1,77,8,304,60,17,3
1995,OR0030900,66,47,0,0,1,0,61,46,389,70,5,4,77,19,288,42,24,9
1996,OR0030900,37,33,0,0,1,1,31,29,384,78,2,1,69,14,291,50,24,14
1997,OR0030900,28,20,0,0,5,4,20,15,641,147,6,1,104,12,517,131,20,4
1998,OR0030900,13,8,0,0,1,0,9,7,455,126,1,1,70,9,365,115,20,2
1999,OR0030900,7,1,0,0,2,0,1,1,442,99,3,1,71,16,347,72,24,11
2000,OR0030900,19,11,0,0,3,1,11,9,388,89,0,0,66,17,309,69,13,3
2001,OR0030900,7,4,0,0,4,2,1,1,506,91,1,1,109,16,370,64,27,11
2002,OR0030900,12,5,0,0,8,4,3,1,472,76,1,1,78,14,377,59,17,3
2003,OR0030900,11,4,0,0,4,0,7,4,423,74,1,0,71,5,339,64,13,5
2004,OR0030900,24,11,0,0,2,0,18,11,428,68,3,1,54,8,355,52,19,8
2005,OR0030900,19,13,0,0,3,0,15,12,329,55,7,3,52,9,247,37,30,9
2006,OR0030900,25,16,0,0,5,2,15,13,299,56,2,1,61,13,226,41,12,2
2007,OR0030900,16,8,0,0,2,0,6,6,262,68,3,0,36,3,210,57,16,8
2008,OR0030900,3,1,1,1,0,0,0,0,277,82,2,0,30,4,239,74,8,4
2009,OR0030900,12,5,0,0,3,1,6,3,271,47,3,1,23,1,237,41,11,5
2010,OR0030900,9,3,0,0,6,2,2,1,295,64,1,0,45,5,241,55,9,4
2011,OR0030900,10,4,0,0,3,0,6,4,268,53,0,0,29,2,223,50,16,1
2012,OR0030900,5,3,0,0,2,2,1,0,249,55,3,0,34,5,211,50,4,0
2013,OR0030900,6,3,0,0,0,0,3,1,279,59,2,1,36,1,234,56,9,2
2014,OR0030900,8,4,0,0,0,0,5,3,252,69,0,0,17,2,228,65,7,2
2015,OR0030900,6,1,0,0,1,0,3,1,40,6,0,0,9,0,31,6,0,0
2016,OR0030900,13,4,0,0,2,1,5,3,243,35,0,0,38,6,191,28,14,1
2017,OR0030900,27,14,0,0,1,1,13,12,145,22,1,0,29,1,106,21,10,0
2018,OR0030900,27,11,0,0,3,0,17,11,235,26,2,0,33,5,193,21,9,0
