ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
OR0360100,2018,34,259,3,10,19,58,104,188,0,2,15,46,0,0,0,291,49,1,6,0,4,0,6,6,6,135,8,0,0,49,19
OR0360100,2017,18,180,0,14,27,65,73,157,0,1,10,20,0,0,0,172,22,0,8,1,4,0,5,2,5,96,1,0,0,55,18
OR0360100,2016,20,208,0,10,38,75,79,152,0,0,4,15,0,0,0,160,26,0,13,0,5,0,2,4,3,128,6,0,0,39,25
OR0360100,2015,34,170,4,21,62,86,80,124,0,0,4,13,0,0,0,217,38,0,9,2,12,3,1,3,3,160,3,0,0,34,18
OR0360100,2014,22,170,0,23,61,92,117,205,0,0,5,23,0,0,0,203,46,0,6,0,3,1,1,2,3,121,3,0,0,36,10
OR0360100,2013,28,184,0,27,65,63,113,228,0,0,9,29,0,0,0,255,77,0,10,0,6,0,3,18,6,137,7,0,0,53,10
OR0360100,2012,31,222,4,45,110,65,130,236,0,0,9,11,0,0,0,223,156,0,10,0,9,0,2,14,6,133,8,0,0,77,12
OR0360100,2011,24,447,2,26,2,84,124,140,0,0,7,21,0,0,0,220,202,1,7,1,2,0,2,10,4,149,3,0,0,43,8
OR0360100,2010,20,340,3,25,46,76,123,173,0,0,8,12,0,0,0,233,201,0,6,0,6,1,0,8,6,63,3,0,0,60,9
OR0360100,2009,17,290,2,10,85,57,132,158,0,0,7,32,0,0,0,203,233,0,2,0,10,0,2,10,8,81,5,0,2,108,14
OR0360100,2008,37,273,7,12,91,67,211,142,0,0,13,33,0,0,0,183,302,0,4,0,6,0,3,6,3,73,1,0,0,73,16
OR0360100,2007,17,250,0,11,158,54,171,138,0,0,13,26,0,0,0,127,172,0,8,0,2,0,1,5,5,71,7,0,0,60,10
OR0360100,2006,15,296,4,27,229,82,114,136,0,0,8,30,0,0,0,115,205,0,6,1,5,0,1,5,5,85,0,0,0,65,14
OR0360100,2005,21,302,4,16,186,92,126,191,0,0,11,37,0,0,0,157,229,0,12,0,7,0,2,15,6,93,3,0,0,56,17
OR0360100,2004,15,291,5,28,149,76,119,206,0,0,15,31,0,0,0,147,206,0,11,0,8,0,1,1,3,79,2,0,0,53,21
OR0360100,2003,12,261,18,34,89,69,131,230,0,2,18,16,0,0,0,136,233,0,16,0,7,0,3,5,9,122,4,0,0,42,17
OR0360100,2002,8,470,6,36,66,58,326,328,0,0,38,54,0,0,0,266,346,0,24,0,8,0,4,8,44,230,14,0,0,82,38
OR0360100,2001,12,680,16,54,82,104,318,204,0,0,54,40,0,0,0,356,454,0,46,0,4,0,8,8,42,302,22,0,0,74,20
OR0360100,2000,12,606,8,50,78,108,296,182,0,0,62,28,0,0,0,386,530,0,26,0,2,0,2,0,34,230,24,0,0,112,32
OR0360100,1999,5,340,5,21,26,47,111,47,0,0,19,22,0,0,0,173,141,0,17,0,5,0,1,5,17,125,7,0,0,67,6
OR0360100,1998,8,350,7,21,61,30,111,49,0,0,28,26,0,0,0,242,132,0,24,0,3,0,4,5,25,132,5,0,0,86,14
OR0360100,1997,7,390,5,39,47,32,75,46,0,0,34,11,0,0,0,353,95,0,25,0,1,1,2,5,15,131,13,0,0,76,8
OR0360100,1996,5,468,9,35,85,29,100,54,0,0,20,18,0,0,0,291,112,0,33,1,6,0,1,3,13,111,9,0,0,61,16
OR0360100,1995,5,352,3,35,127,10,104,85,0,0,10,5,0,0,0,209,97,0,40,0,6,0,3,5,18,200,9,0,0,78,17
OR0360100,1994,7,211,3,41,96,29,110,81,0,0,29,6,0,0,0,279,133,0,29,1,3,0,8,12,13,185,8,0,0,70,22
OR0360100,1993,12,136,4,49,46,20,102,69,0,0,24,10,0,0,0,227,137,0,33,1,2,0,5,6,16,170,11,0,0,48,19
OR0360100,1992,9,79,2,43,81,16,128,26,0,0,5,11,0,0,0,281,184,0,15,0,0,1,1,9,23,141,1,0,0,56,14
OR0360100,1991,8,53,3,29,22,15,116,28,0,0,7,12,0,0,0,267,142,0,9,0,1,0,6,1,15,140,3,0,0,53,5
OR0360100,1990,5,38,1,23,41,9,153,42,0,0,13,14,0,0,0,256,144,0,14,3,0,0,5,10,8,141,5,0,0,44,7
OR0360100,1989,2,47,0,45,94,4,71,39,0,0,6,9,0,0,0,207,130,0,17,0,0,0,3,1,7,79,5,0,0,47,7
OR0360100,1988,6,29,1,54,23,6,92,49,0,0,7,22,0,0,0,221,134,0,16,0,2,0,6,8,10,108,7,0,0,45,14
OR0360100,1987,1,66,0,40,40,11,100,83,0,0,12,10,0,0,0,209,140,0,14,1,0,0,0,3,12,64,7,0,0,35,6
OR0360100,1986,0,38,1,63,62,8,120,30,0,0,8,10,0,0,0,209,191,0,7,1,0,0,3,4,8,69,5,0,0,24,2
OR0360100,1985,2,79,3,70,25,14,215,19,0,0,10,7,0,0,0,181,167,0,16,0,1,0,1,8,2,73,9,0,0,32,2
