Label,Value,Year
Reported,75,1985
Cleared,25,1985
Reported,104,1986
Cleared,51,1986
Reported,80,1987
Cleared,31,1987
Reported,93,1988
Cleared,33,1988
Reported,97,1989
Cleared,51,1989
Reported,69,1990
Cleared,28,1990
Reported,105,1991
Cleared,18,1991
Reported,108,1992
Cleared,38,1992
Reported,86,1993
Cleared,28,1993
Reported,68,1994
Cleared,13,1994
Reported,72,1995
Cleared,14,1995
Reported,100,1996
Cleared,13,1996
Reported,79,1997
Cleared,13,1997
Reported,75,1998
Cleared,14,1998
Reported,47,1999
Cleared,16,1999
Reported,97,2000
Cleared,16,2000
Reported,57,2002
Cleared,9,2002
Reported,79,2003
Cleared,16,2003
Reported,81,2004
Cleared,15,2004
Reported,71,2005
Cleared,9,2005
Reported,47,2006
Cleared,6,2006
Reported,62,2007
Cleared,6,2007
Reported,64,2008
Cleared,4,2008
Reported,84,2009
Cleared,13,2009
Reported,69,2010
Cleared,7,2010
Reported,68,2011
Cleared,11,2011
Reported,70,2012
Cleared,8,2012
Reported,68,2013
Cleared,16,2013
Reported,68,2014
Cleared,20,2014
Reported,56,2015
Cleared,12,2015
Reported,61,2016
Cleared,13,2016
Reported,58,2017
Cleared,10,2017
Reported,47,2018
Cleared,13,2018
