Label,Value,Year
Reported,4,1985
Cleared,1,1985
Reported,3,1986
Cleared,3,1986
Reported,7,1987
Cleared,3,1987
Reported,4,1988
Cleared,3,1988
Reported,4,1989
Cleared,0,1989
Reported,2,1990
Cleared,2,1990
Reported,7,1991
Cleared,2,1991
Reported,6,1992
Cleared,2,1992
Reported,1,1993
Cleared,0,1993
Reported,3,1994
Cleared,0,1994
Reported,5,1995
Cleared,2,1995
Reported,5,1996
Cleared,2,1996
Reported,4,1997
Cleared,0,1997
Reported,0,1998
Cleared,0,1998
Reported,8,1999
Cleared,3,1999
Reported,1,2000
Cleared,0,2000
Reported,0,2002
Cleared,0,2002
Reported,4,2003
Cleared,1,2003
Reported,1,2004
Cleared,0,2004
Reported,2,2005
Cleared,0,2005
Reported,3,2006
Cleared,0,2006
Reported,1,2007
Cleared,1,2007
Reported,5,2008
Cleared,1,2008
Reported,4,2009
Cleared,0,2009
Reported,8,2010
Cleared,0,2010
Reported,5,2011
Cleared,0,2011
Reported,1,2012
Cleared,0,2012
Reported,2,2013
Cleared,0,2013
Reported,4,2014
Cleared,0,2014
Reported,1,2015
Cleared,1,2015
Reported,4,2016
Cleared,0,2016
Reported,6,2017
Cleared,1,2017
Reported,0,2018
Cleared,0,2018
