year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,PA0060500,5,5,0,0,31,6,0,0,75,25,4,1,110,32,2,0
1986,PA0060500,6,5,0,0,20,3,0,0,104,51,3,3,127,57,1,1
1987,PA0060500,5,5,0,0,21,6,0,0,80,31,7,3,108,40,0,0
1988,PA0060500,5,5,1,1,24,2,0,0,93,33,4,3,121,38,0,0
1989,PA0060500,10,8,0,0,14,1,0,0,97,51,4,0,115,52,0,0
1990,PA0060500,7,7,1,1,16,3,0,0,69,28,2,2,87,33,0,0
1991,PA0060500,21,21,0,0,19,3,0,0,105,18,7,2,131,23,3,0
1992,PA0060500,6,6,1,0,23,3,0,0,108,38,6,2,137,43,1,0
1993,PA0060500,8,8,0,0,9,2,1,1,86,28,1,0,96,30,0,0
1994,PA0060500,1,1,1,0,7,2,0,0,68,13,3,0,78,15,1,1
1995,PA0060500,2,3,0,0,20,1,0,0,72,14,5,2,97,17,0,0
1996,PA0060500,1,1,1,0,8,1,0,0,100,13,5,2,113,16,2,1
1997,PA0060500,4,4,0,0,10,1,0,0,79,13,4,0,93,14,1,0
1998,PA0060500,1,1,0,0,11,0,0,0,75,14,0,0,86,14,0,0
1999,PA0060500,3,2,0,0,8,0,0,0,47,16,8,3,63,19,0,0
2000,PA0060500,4,4,0,0,8,0,0,0,97,16,1,0,106,16,1,0
2002,PA0060500,0,0,0,0,12,3,0,0,57,9,0,0,69,12,3,0
2003,PA0060500,4,4,1,0,8,1,0,0,79,16,4,1,91,18,3,1
2004,PA0060500,6,6,0,0,5,1,0,0,81,15,1,0,87,16,0,0
2005,PA0060500,5,5,1,0,9,2,0,0,71,9,2,0,82,11,0,0
2006,PA0060500,2,2,1,0,12,4,0,0,47,6,3,0,62,10,0,0
2007,PA0060500,4,3,0,0,7,0,0,0,62,6,1,1,70,7,0,0
2008,PA0060500,6,6,1,0,5,0,0,0,64,4,5,1,74,5,0,0
2009,PA0060500,3,2,0,0,9,1,0,0,84,13,4,0,97,14,1,0
2010,PA0060500,1,1,0,0,7,1,0,0,69,7,8,0,84,8,1,0
2011,PA0060500,1,1,0,0,7,1,0,0,68,11,5,0,80,12,2,1
2012,PA0060500,15,12,0,0,21,7,0,0,70,8,1,0,92,15,2,1
2013,PA0060500,5,7,0,0,23,0,0,0,68,16,2,0,93,16,0,0
2014,PA0060500,11,9,0,0,20,2,0,0,68,20,4,0,92,22,0,0
2015,PA0060500,14,13,6,1,21,1,0,0,56,12,1,1,78,14,1,1
2016,PA0060500,11,11,3,2,47,3,0,0,61,13,4,0,112,16,2,2
2017,PA0060500,5,5,0,0,10,4,0,0,58,10,6,1,74,15,3,3
2018,PA0060500,15,15,0,0,9,0,0,0,47,13,0,0,56,13,1,0
