Label,Value,Year
Reported,16,1985
Cleared,5,1985
Reported,10,1986
Cleared,2,1986
Reported,15,1987
Cleared,2,1987
Reported,12,1988
Cleared,9,1988
Reported,19,1989
Cleared,6,1989
Reported,23,1990
Cleared,9,1990
Reported,24,1991
Cleared,8,1991
Reported,16,1992
Cleared,1,1992
Reported,5,1993
Cleared,0,1993
Reported,45,1994
Cleared,5,1994
Reported,23,1995
Cleared,6,1995
Reported,20,1996
Cleared,4,1996
Reported,21,1997
Cleared,6,1997
Reported,12,1998
Cleared,3,1998
Reported,11,1999
Cleared,6,1999
Reported,28,2000
Cleared,12,2000
Reported,17,2001
Cleared,15,2001
Reported,7,2002
Cleared,0,2002
Reported,41,2003
Cleared,27,2003
Reported,24,2004
Cleared,9,2004
Reported,8,2005
Cleared,3,2005
Reported,18,2006
Cleared,8,2006
Reported,11,2007
Cleared,3,2007
Reported,17,2008
Cleared,3,2008
Reported,17,2009
Cleared,6,2009
Reported,16,2010
Cleared,2,2010
Reported,16,2011
Cleared,8,2011
Reported,41,2012
Cleared,16,2012
Reported,52,2013
Cleared,21,2013
Reported,29,2014
Cleared,6,2014
Reported,31,2015
Cleared,4,2015
Reported,25,2016
Cleared,5,2016
Reported,13,2017
Cleared,2,2017
Reported,28,2018
Cleared,7,2018
