Label,Value,Year
Reported,92,1985
Cleared,18,1985
Reported,92,1986
Cleared,18,1986
Reported,156,1987
Cleared,27,1987
Reported,127,1988
Cleared,34,1988
Reported,113,1989
Cleared,27,1989
Reported,111,1990
Cleared,32,1990
Reported,153,1991
Cleared,43,1991
Reported,110,1992
Cleared,27,1992
Reported,91,1993
Cleared,18,1993
Reported,228,1994
Cleared,51,1994
Reported,121,1995
Cleared,36,1995
Reported,189,1996
Cleared,42,1996
Reported,169,1997
Cleared,30,1997
Reported,156,1998
Cleared,53,1998
Reported,111,1999
Cleared,37,1999
Reported,151,2000
Cleared,81,2000
Reported,116,2001
Cleared,111,2001
Reported,104,2002
Cleared,0,2002
Reported,134,2003
Cleared,100,2003
Reported,100,2004
Cleared,38,2004
Reported,75,2005
Cleared,21,2005
Reported,112,2006
Cleared,40,2006
Reported,108,2007
Cleared,39,2007
Reported,102,2008
Cleared,38,2008
Reported,104,2009
Cleared,25,2009
Reported,101,2010
Cleared,22,2010
Reported,121,2011
Cleared,42,2011
Reported,166,2012
Cleared,37,2012
Reported,150,2013
Cleared,56,2013
Reported,177,2014
Cleared,46,2014
Reported,145,2015
Cleared,33,2015
Reported,135,2016
Cleared,36,2016
Reported,117,2017
Cleared,34,2017
Reported,113,2018
Cleared,34,2018
