year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,PA0360700,4,3,0,0,16,5,0,0,72,12,4,1,92,18,0,0,4,3
1986,PA0360700,0,0,5,2,10,2,0,0,75,13,7,3,92,18,0,0,0,0
1987,PA0360700,3,3,4,1,15,2,0,0,131,18,10,7,156,27,2,0,5,3
1988,PA0360700,2,1,2,1,12,9,0,0,111,22,4,3,127,34,1,1,4,2
1989,PA0360700,1,1,1,0,19,6,0,0,86,19,8,2,113,27,2,1,4,3
1990,PA0360700,4,3,0,0,23,9,0,0,82,21,6,2,111,32,1,0,5,3
1991,PA0360700,10,9,3,0,24,8,0,0,124,35,5,0,153,43,0,0,10,9
1992,PA0360700,4,4,1,0,16,1,0,0,92,26,2,0,110,27,1,0,6,4
1993,PA0360700,8,6,1,0,5,0,0,0,85,17,1,1,91,18,0,0,9,9
1994,PA0360700,9,8,1,0,45,5,0,0,168,35,15,11,228,51,1,1,10,9
1995,PA0360700,1,1,0,0,23,6,0,0,92,28,6,2,121,36,1,0,2,1
1996,PA0360700,5,4,1,1,20,4,1,1,156,30,13,8,189,42,0,0,6,5
1997,PA0360700,6,6,0,0,21,6,0,0,140,20,8,4,169,30,1,0,7,6
1998,PA0360700,1,1,3,2,12,3,0,0,114,26,30,24,156,53,2,2,5,3
1999,PA0360700,3,2,0,0,11,6,0,0,91,24,9,7,111,37,3,0,8,2
2000,PA0360700,3,3,4,4,28,12,0,0,118,62,5,7,151,81,1,0,4,3
2001,PA0360700,3,2,1,0,17,15,0,0,90,89,9,7,116,111,1,0,4,2
2002,PA0360700,2,0,1,1,7,0,0,0,90,0,7,0,104,0,0,0,3,0
2003,PA0360700,3,3,2,0,41,27,0,0,83,65,10,8,134,100,3,2,6,6
2004,PA0360700,3,3,2,4,24,9,0,0,69,23,7,6,100,38,0,0,4,3
2005,PA0360700,2,2,0,0,8,3,0,0,61,16,6,2,75,21,0,0,2,2
2006,PA0360700,6,5,0,0,18,8,0,0,90,30,4,2,112,40,1,1,8,7
2007,PA0360700,5,4,1,1,11,3,0,0,92,33,5,3,108,39,0,0,6,6
2008,PA0360700,0,0,0,0,17,3,1,1,80,33,5,2,102,38,2,0,3,1
2009,PA0360700,5,3,0,0,17,6,0,0,84,18,3,1,104,25,5,2,10,5
2010,PA0360700,7,4,0,0,16,2,0,0,83,19,2,1,101,22,2,0,10,4
2011,PA0360700,2,3,0,0,16,8,0,0,100,31,5,3,121,42,2,2,6,6
2012,PA0360700,7,5,2,0,41,16,1,1,117,16,8,5,166,37,4,3,12,10
2013,PA0360700,5,5,2,1,52,21,0,0,93,34,5,1,150,56,2,2,8,7
2014,PA0360700,28,26,2,2,29,6,0,0,141,37,7,3,177,46,4,3,37,29
2015,PA0360700,22,13,1,1,31,4,0,0,111,27,3,2,145,33,1,0,26,15
2016,PA0360700,13,14,1,1,25,5,0,0,106,28,4,3,135,36,4,3,19,17
2017,PA0360700,21,17,0,0,13,2,0,0,101,30,3,2,117,34,7,4,30,21
2018,PA0360700,13,12,1,1,28,7,0,0,79,22,6,5,113,34,3,0,16,16
