ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
PA0490400,2018,31,70,0,19,0,71,6,118,30,0,2,10,0,0,0,129,2,0,6,1,2,0,3,3,0,31,2,0,1,5,4
PA0490400,2017,10,41,0,8,0,59,12,70,30,0,1,5,0,0,0,62,6,0,4,0,4,0,0,5,2,32,1,0,0,12,2
PA0490400,2016,16,65,1,14,0,76,10,89,36,0,0,8,0,0,0,94,6,0,4,0,7,0,4,5,0,37,1,0,1,5,2
PA0490400,2015,16,72,2,8,0,61,10,80,41,0,0,6,0,0,0,28,15,1,5,0,0,0,2,0,1,36,3,0,0,3,1
PA0490400,2014,20,43,0,10,0,70,12,69,33,0,2,2,0,0,0,48,26,0,1,0,1,0,2,2,3,35,3,0,0,4,3
PA0490400,2013,8,56,3,17,0,48,13,68,25,0,1,5,0,0,0,43,16,0,1,0,1,0,0,1,4,56,5,0,0,14,4
PA0490400,2012,4,48,0,7,0,53,16,43,24,0,2,7,0,0,0,57,14,0,4,0,1,0,0,1,1,60,0,0,4,8,3
PA0490400,2011,2,32,2,9,0,59,17,77,15,0,1,4,0,0,0,50,24,0,3,0,6,0,0,4,2,81,2,0,0,9,1
PA0490400,2010,5,36,0,2,0,68,20,47,20,0,3,10,0,0,0,36,49,0,3,0,0,0,0,0,0,46,2,0,0,9,1
PA0490400,2009,13,36,2,7,0,38,25,84,13,1,7,19,0,0,0,30,63,0,3,0,2,0,1,0,1,49,3,0,0,2,0
PA0490400,2008,8,42,0,8,0,64,15,81,13,0,4,12,0,0,0,50,34,0,3,0,0,0,0,4,2,49,2,0,1,2,2
PA0490400,2007,11,8,0,7,0,96,37,36,21,0,8,14,0,0,0,46,31,0,11,0,0,0,0,1,1,65,1,0,0,9,1
PA0490400,2006,5,0,6,3,0,81,35,87,34,1,4,21,0,0,0,32,34,1,4,0,6,0,0,1,0,39,5,0,0,19,3
PA0490400,2005,44,133,0,9,10,122,39,114,38,0,0,0,0,0,0,8,33,0,5,1,21,0,3,0,2,169,1,0,0,45,8
PA0490400,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,1999,30,191,0,6,1,139,102,21,64,1,12,6,0,0,0,8,43,0,9,0,18,0,4,6,12,89,13,0,0,130,3
PA0490400,1998,54,148,0,14,14,194,64,96,149,0,8,12,0,0,0,37,59,0,13,0,48,0,5,18,14,100,51,0,0,198,4
PA0490400,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,1996,11,112,1,4,2,70,22,11,30,0,10,33,0,0,0,52,52,0,4,0,2,4,1,2,3,27,0,0,0,26,1
PA0490400,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,1994,12,78,1,6,20,107,15,18,44,0,2,7,0,0,0,45,75,0,2,0,1,1,3,5,0,38,9,0,0,29,4
PA0490400,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,1991,8,74,0,22,0,94,14,14,51,0,4,40,0,0,0,57,51,0,5,0,2,0,6,0,1,27,4,0,0,27,0
PA0490400,1990,21,102,1,43,18,103,21,16,66,0,3,25,0,0,0,40,64,0,0,0,0,0,0,2,3,13,10,0,0,37,0
PA0490400,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0490400,1987,5,66,2,8,3,98,17,5,80,0,0,21,0,0,0,30,44,0,3,0,3,0,2,0,3,39,0,0,0,31,1
PA0490400,1986,8,84,0,8,5,70,8,0,62,0,10,17,0,0,0,16,43,0,2,0,7,0,0,1,2,14,0,0,0,18,2
PA0490400,1985,11,76,0,11,8,75,14,3,63,0,1,11,0,0,0,36,61,0,1,0,4,0,0,1,8,20,5,0,0,26,0
