Label,Value,Year
Reported,19007,1985
Cleared,3792,1985
Reported,19174,1986
Cleared,3070,1986
Reported,20070,1987
Cleared,3408,1987
Reported,20304,1988
Cleared,3299,1988
Reported,21896,1989
Cleared,3779,1989
Reported,24144,1990
Cleared,3739,1990
Reported,21460,1991
Cleared,3354,1991
Reported,16199,1992
Cleared,2830,1992
Reported,15117,1993
Cleared,2496,1993
Reported,14106,1994
Cleared,2024,1994
Reported,16165,1995
Cleared,2256,1995
Reported,13723,1996
Cleared,1747,1996
Reported,13951,1997
Cleared,1848,1997
Reported,15437,1998
Cleared,1970,1998
Reported,14042,1999
Cleared,1792,1999
Reported,12089,2000
Cleared,2185,2000
Reported,11629,2001
Cleared,2047,2001
Reported,11244,2002
Cleared,1774,2002
Reported,10656,2003
Cleared,1582,2003
Reported,10536,2004
Cleared,1405,2004
Reported,10960,2005
Cleared,1637,2005
Reported,11542,2006
Cleared,1632,2006
Reported,11524,2007
Cleared,1714,2007
Reported,12845,2008
Cleared,2070,2008
Reported,10969,2009
Cleared,1661,2009
Reported,10796,2010
Cleared,1573,2010
Reported,12057,2011
Cleared,1603,2011
Reported,12004,2012
Cleared,1621,2012
Reported,10408,2013
Cleared,1464,2013
Reported,9694,2014
Cleared,1311,2014
Reported,8083,2015
Cleared,1234,2015
Reported,6985,2016
Cleared,1159,2016
Reported,6590,2017
Cleared,1105,2017
Reported,6497,2018
Cleared,985,2018
