Label,Value,Year
Reported,35815,1985
Cleared,9240,1985
Reported,36619,1986
Cleared,8779,1986
Reported,41784,1987
Cleared,8845,1987
Reported,42315,1988
Cleared,8450,1988
Reported,50609,1989
Cleared,10756,1989
Reported,42633,1990
Cleared,9947,1990
Reported,40880,1991
Cleared,11352,1991
Reported,39677,1992
Cleared,10416,1992
Reported,39181,1993
Cleared,9856,1993
Reported,40392,1994
Cleared,9127,1994
Reported,46332,1995
Cleared,10063,1995
Reported,40384,1996
Cleared,7499,1996
Reported,40027,1997
Cleared,7329,1997
Reported,49892,1998
Cleared,7475,1998
Reported,49874,1999
Cleared,7085,1999
Reported,46952,2000
Cleared,6877,2000
Reported,45318,2001
Cleared,7445,2001
Reported,38789,2002
Cleared,6052,2002
Reported,37864,2003
Cleared,5837,2003
Reported,37808,2004
Cleared,6014,2004
Reported,38039,2005
Cleared,5734,2005
Reported,39413,2006
Cleared,5896,2006
Reported,39167,2007
Cleared,6023,2007
Reported,40681,2008
Cleared,6750,2008
Reported,37941,2009
Cleared,6508,2009
Reported,39924,2010
Cleared,6823,2010
Reported,40113,2011
Cleared,6902,2011
Reported,38592,2012
Cleared,7120,2012
Reported,37253,2013
Cleared,6823,2013
Reported,37394,2014
Cleared,6251,2014
Reported,36228,2015
Cleared,6126,2015
Reported,36856,2016
Cleared,5808,2016
Reported,36195,2017
Cleared,5173,2017
Reported,36968,2018
Cleared,4163,2018
