Label,Value,Year
Legacy Rape Reported,1021,1985
Legacy Rape Cleared,745,1985
Legacy Rape Reported,1086,1986
Legacy Rape Cleared,797,1986
Legacy Rape Reported,1102,1987
Legacy Rape Cleared,801,1987
Legacy Rape Reported,912,1988
Legacy Rape Cleared,655,1988
Legacy Rape Reported,784,1989
Legacy Rape Cleared,608,1989
Legacy Rape Reported,734,1990
Legacy Rape Cleared,540,1990
Legacy Rape Reported,904,1991
Legacy Rape Cleared,678,1991
Legacy Rape Reported,817,1992
Legacy Rape Cleared,577,1992
Legacy Rape Reported,785,1993
Legacy Rape Cleared,583,1993
Legacy Rape Reported,721,1994
Legacy Rape Cleared,505,1994
Legacy Rape Reported,773,1995
Legacy Rape Cleared,492,1995
Legacy Rape Reported,644,1996
Legacy Rape Cleared,376,1996
Legacy Rape Reported,650,1997
Legacy Rape Cleared,399,1997
Legacy Rape Reported,752,1998
Legacy Rape Cleared,401,1998
Legacy Rape Reported,934,1999
Legacy Rape Cleared,515,1999
Legacy Rape Reported,1021,2000
Legacy Rape Cleared,614,2000
Legacy Rape Reported,1014,2001
Legacy Rape Cleared,674,2001
Legacy Rape Reported,1035,2002
Legacy Rape Cleared,626,2002
Legacy Rape Reported,1004,2003
Legacy Rape Cleared,623,2003
Legacy Rape Reported,1001,2004
Legacy Rape Cleared,635,2004
Legacy Rape Reported,1024,2005
Legacy Rape Cleared,675,2005
Legacy Rape Reported,960,2006
Legacy Rape Cleared,605,2006
Legacy Rape Reported,956,2007
Legacy Rape Cleared,636,2007
Legacy Rape Reported,1038,2008
Legacy Rape Cleared,704,2008
Legacy Rape Reported,896,2009
Legacy Rape Cleared,702,2009
Legacy Rape Reported,945,2010
Legacy Rape Cleared,608,2010
Legacy Rape Reported,833,2011
Legacy Rape Cleared,611,2011
Legacy Rape Reported,880,2012
Legacy Rape Cleared,575,2012
Revised Rape Reported,1279,2013
Revised Rape Cleared,901,2013
Revised Rape Reported,1207,2014
Revised Rape Cleared,844,2014
Revised Rape Reported,1322,2015
Revised Rape Cleared,912,2015
Revised Rape Reported,1259,2016
Revised Rape Cleared,701,2016
Revised Rape Reported,1182,2017
Revised Rape Cleared,743,2017
Revised Rape Reported,1095,2018
Revised Rape Cleared,620,2018
