Label,Value,Year
Reported,16209,1985
Cleared,8803,1985
Reported,17207,1986
Cleared,9507,1986
Reported,17398,1987
Cleared,9483,1987
Reported,17082,1988
Cleared,8778,1988
Reported,18054,1989
Cleared,8911,1989
Reported,21387,1990
Cleared,9346,1990
Reported,22451,1991
Cleared,9770,1991
Reported,19103,1992
Cleared,8718,1992
Reported,19576,1993
Cleared,8770,1993
Reported,20638,1994
Cleared,7952,1994
Reported,21860,1995
Cleared,8649,1995
Reported,20190,1996
Cleared,7359,1996
Reported,19204,1997
Cleared,7118,1997
Reported,21226,1998
Cleared,7732,1998
Reported,23031,1999
Cleared,9442,1999
Reported,22812,2000
Cleared,10152,2000
Reported,21404,2001
Cleared,9897,2001
Reported,20057,2002
Cleared,9225,2002
Reported,20620,2003
Cleared,9141,2003
Reported,20902,2004
Cleared,9063,2004
Reported,21609,2005
Cleared,8979,2005
Reported,22884,2006
Cleared,10362,2006
Reported,21180,2007
Cleared,9718,2007
Reported,20771,2008
Cleared,10765,2008
Reported,19163,2009
Cleared,9935,2009
Reported,18535,2010
Cleared,9119,2010
Reported,18268,2011
Cleared,9014,2011
Reported,17853,2012
Cleared,8808,2012
Reported,17074,2013
Cleared,8955,2013
Reported,15925,2014
Cleared,8272,2014
Reported,16133,2015
Cleared,8508,2015
Reported,15385,2016
Cleared,7439,2016
Reported,14930,2017
Cleared,7164,2017
Reported,14420,2018
Cleared,6438,2018
