year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,PAPEP0000,16209,8803,273,210,9381,3805,5534,4043,67458,14659,0,0,19007,3792,35815,9240,12636,1627
1986,PAPEP0000,17207,9507,343,281,9647,3949,6131,4480,68887,13326,0,0,19174,3070,36619,8779,13094,1477
1987,PAPEP0000,17398,9483,338,281,9302,3577,6656,4824,77177,14187,0,0,20070,3408,41784,8845,15323,1934
1988,PAPEP0000,17082,8778,374,284,8858,3343,6938,4496,82877,14164,1373,270,20304,3299,42315,8450,20258,2415
1989,PAPEP0000,18054,8911,475,365,10233,3736,6562,4202,97548,17757,712,175,21896,3779,50609,10756,25043,3222
1990,PAPEP0000,21387,9346,503,382,12806,4067,7344,4357,92645,17650,1652,229,24144,3739,42633,9947,25868,3964
1991,PAPEP0000,22451,9770,440,352,13921,4417,7186,4323,86658,17889,1993,213,21460,3354,40880,11352,24318,3183
1992,PAPEP0000,19103,8718,425,340,11681,3843,6180,3958,78292,16518,2065,247,16199,2830,39677,10416,22416,3272
1993,PAPEP0000,19576,8770,439,314,11531,3441,6821,4432,78083,15472,2282,238,15117,2496,39181,9856,23785,3120
1994,PAPEP0000,20638,7952,404,270,12706,3229,6807,3948,79779,14004,2500,247,14106,2024,40392,9127,25281,2853
1995,PAPEP0000,21860,8649,432,283,13612,3683,7043,4191,86306,15174,2333,227,16165,2256,46332,10063,23809,2855
1996,PAPEP0000,20190,7359,420,291,13188,3337,5938,3355,74375,10865,2681,202,13723,1747,40384,7499,20268,1619
1997,PAPEP0000,19204,7118,418,274,11938,3003,6198,3442,76514,11846,3131,192,13951,1848,40027,7329,22536,2669
1998,PAPEP0000,21226,7732,338,252,11435,2832,8701,4247,84852,11343,2879,224,15437,1970,49892,7475,19523,1898
1999,PAPEP0000,23031,9442,292,221,11104,2845,10701,5861,81627,10857,3097,240,14042,1792,49874,7085,17711,1980
2000,PAPEP0000,22812,10152,319,226,10425,2939,11047,6373,75188,11394,2581,170,12089,2185,46952,6877,16147,2332
2001,PAPEP0000,21404,9897,309,216,9604,2826,10477,6181,72474,12369,0,0,11629,2047,45318,7445,15527,2877
2002,PAPEP0000,20057,9225,288,231,8869,2589,9865,5779,63335,9635,0,0,11244,1774,38789,6052,13302,1809
2003,PAPEP0000,20620,9141,348,227,9617,2758,9651,5533,62454,9541,0,0,10656,1582,37864,5837,13934,2122
2004,PAPEP0000,20902,9063,330,215,9757,2652,9814,5561,60931,9114,0,0,10536,1405,37808,6014,12587,1695
2005,PAPEP0000,21609,8979,377,236,10069,2679,10139,5389,60419,8944,0,0,10960,1637,38039,5734,11420,1573
2006,PAPEP0000,22884,10362,407,226,10971,3164,10546,6367,62610,9534,0,0,11542,1632,39413,5896,11655,2006
2007,PAPEP0000,21180,9718,392,229,10258,3085,9574,5768,61795,10063,0,0,11524,1714,39167,6023,11104,2326
2008,PAPEP0000,20771,10765,331,248,9618,3297,9784,6516,62580,10878,0,0,12845,2070,40681,6750,9054,2058
2009,PAPEP0000,19163,9935,302,228,9037,3097,8928,5908,55888,9956,0,0,10969,1661,37941,6508,6978,1787
2010,PAPEP0000,18535,9119,306,214,8363,2727,8921,5570,57788,9333,0,0,10796,1573,39924,6823,7068,937
2011,PAPEP0000,18268,9014,324,195,8246,2674,8865,5534,59617,9501,0,0,12057,1603,40113,6902,7447,996
2012,PAPEP0000,17853,8808,331,231,7984,2602,8658,5400,56997,9901,0,0,12004,1621,38592,7120,6401,1160
2013,PAPEP0000,17074,8955,247,174,7562,2590,7986,5290,53452,9505,0,0,10408,1464,37253,6823,5791,1218
2014,PAPEP0000,15925,8272,248,147,6970,2367,7500,4914,52816,8838,399,83,9694,1311,37394,6251,5728,1276
2015,PAPEP0000,16133,8508,280,161,6765,2393,7766,5042,49376,8680,330,79,8083,1234,36228,6126,5065,1320
2016,PAPEP0000,15385,7439,273,124,6199,2070,7654,4544,49334,8417,416,90,6985,1159,36856,5808,5493,1450
2017,PAPEP0000,14930,7164,316,140,6026,2025,7406,4256,48268,7712,413,85,6590,1105,36195,5173,5483,1434
2018,PAPEP0000,14420,6438,351,154,5262,1659,7712,4005,49145,6904,430,84,6497,985,36968,4163,5680,1756
