Series,Year,Rate
1985,Male Officers,6430
1985,Female Officers,536
1985,Male Civilians,502
1985,Female Civilians,296
1986,Male Officers,6249
1986,Female Officers,619
1986,Male Civilians,475
1986,Female Civilians,310
1987,Male Officers,5979
1987,Female Officers,719
1987,Male Civilians,491
1987,Female Civilians,377
1988,Male Officers,5332
1988,Female Officers,731
1988,Male Civilians,466
1988,Female Civilians,406
1989,Male Officers,5392
1989,Female Officers,871
1989,Male Civilians,486
1989,Female Civilians,441
1990,Male Officers,5646
1990,Female Officers,1005
1990,Male Civilians,467
1990,Female Civilians,468
1991,Male Officers,5428
1991,Female Officers,996
1991,Male Civilians,445
1991,Female Civilians,449
1992,Male Officers,5231
1992,Female Officers,1002
1992,Male Civilians,426
1992,Female Civilians,442
1993,Male Officers,5178
1993,Female Officers,1047
1993,Male Civilians,319
1993,Female Civilians,425
1994,Male Officers,5046
1994,Female Officers,1055
1994,Male Civilians,338
1994,Female Civilians,538
1995,Male Officers,5190
1995,Female Officers,1186
1995,Male Civilians,352
1995,Female Civilians,591
1996,Male Officers,5143
1996,Female Officers,1312
1996,Male Civilians,353
1996,Female Civilians,602
1997,Male Officers,5260
1997,Female Officers,1451
1997,Male Civilians,344
1997,Female Civilians,626
1998,Male Officers,5296
1998,Female Officers,1616
1998,Male Civilians,310
1998,Female Civilians,586
1999,Male Officers,5260
1999,Female Officers,1675
1999,Male Civilians,300
1999,Female Civilians,591
2000,Male Officers,5358
2000,Female Officers,1718
2000,Male Civilians,309
2000,Female Civilians,602
2001,Male Officers,5269
2001,Female Officers,1673
2001,Male Civilians,307
2001,Female Civilians,618
2002,Male Officers,5258
2002,Female Officers,1673
2002,Male Civilians,291
2002,Female Civilians,628
2003,Male Officers,5204
2003,Female Officers,1728
2003,Male Civilians,283
2003,Female Civilians,629
2004,Male Officers,5075
2004,Female Officers,1706
2004,Male Civilians,288
2004,Female Civilians,635
2005,Male Officers,4956
2005,Female Officers,1680
2005,Male Civilians,260
2005,Female Civilians,605
2006,Male Officers,5005
2006,Female Officers,1660
2006,Male Civilians,264
2006,Female Civilians,581
2007,Male Officers,5058
2007,Female Officers,1656
2007,Male Civilians,264
2007,Female Civilians,564
2008,Male Officers,5111
2008,Female Officers,1653
2008,Male Civilians,275
2008,Female Civilians,584
2009,Male Officers,5115
2009,Female Officers,1607
2009,Male Civilians,277
2009,Female Civilians,577
2010,Male Officers,5153
2010,Female Officers,1581
2010,Male Civilians,250
2010,Female Civilians,548
2011,Male Officers,5083
2011,Female Officers,1542
2011,Male Civilians,255
2011,Female Civilians,547
2012,Male Officers,5032
2012,Female Officers,1494
2012,Male Civilians,273
2012,Female Civilians,561
2013,Male Officers,5048
2013,Female Officers,1460
2013,Male Civilians,253
2013,Female Civilians,564
2014,Male Officers,4984
2014,Female Officers,1426
2014,Male Civilians,265
2014,Female Civilians,560
2015,Male Officers,5013
2015,Female Officers,1400
2015,Male Civilians,246
2015,Female Civilians,570
2016,Male Officers,4948
2016,Female Officers,1365
2016,Male Civilians,298
2016,Female Civilians,1384
2017,Male Officers,5144
2017,Female Officers,1414
2017,Male Civilians,240
2017,Female Civilians,549
2018,Male Officers,5157
2018,Female Officers,1420
2018,Male Civilians,245
2018,Female Civilians,544
