year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
2003,SD0620200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2004,SD0620200,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2007,SD0620200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,SD0620200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2009,SD0620200,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0
2010,SD0620200,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,SD0620200,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
2012,SD0620200,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2013,SD0620200,0,0,0,0,3,1,0,0,2,1,0,0,5,2,0,0,0,0
2014,SD0620200,0,0,0,0,2,1,0,0,2,0,1,0,5,1,0,0,0,0
2015,SD0620200,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,SD0620200,1,1,0,0,2,0,0,0,10,0,1,1,13,1,0,0,1,1
2018,SD0620200,0,0,0,0,1,0,0,0,9,1,0,0,10,1,0,0,0,0
