Label,Value,Year
Reported,28,1985
Cleared,7,1985
Reported,26,1986
Cleared,5,1986
Reported,23,1987
Cleared,4,1987
Reported,24,1988
Cleared,2,1988
Reported,11,1989
Cleared,3,1989
Reported,10,1990
Cleared,1,1990
Reported,5,1991
Cleared,1,1991
Reported,4,1992
Cleared,2,1992
Reported,5,1993
Cleared,2,1993
Reported,4,1994
Cleared,1,1994
Reported,5,1995
Cleared,1,1995
Reported,3,1996
Cleared,0,1996
Reported,4,1997
Cleared,2,1997
Reported,5,1998
Cleared,0,1998
Reported,3,1999
Cleared,0,1999
Reported,0,2000
Cleared,0,2000
Reported,9,2001
Cleared,0,2001
Reported,4,2002
Cleared,2,2002
Reported,10,2003
Cleared,3,2003
Reported,9,2004
Cleared,3,2004
Reported,3,2005
Cleared,0,2005
Reported,2,2006
Cleared,0,2006
Reported,4,2007
Cleared,1,2007
Reported,4,2008
Cleared,3,2008
Reported,5,2009
Cleared,2,2009
Reported,7,2010
Cleared,0,2010
Reported,1,2011
Cleared,0,2011
Reported,6,2012
Cleared,1,2012
Reported,4,2013
Cleared,2,2013
Reported,7,2014
Cleared,4,2014
Reported,2,2015
Cleared,2,2015
Reported,3,2016
Cleared,3,2016
Reported,0,2017
Cleared,0,2017
Reported,2,2018
Cleared,0,2018
