Label,Value,Year
Reported,186,1985
Cleared,39,1985
Reported,257,1986
Cleared,58,1986
Reported,248,1987
Cleared,51,1987
Reported,305,1988
Cleared,48,1988
Reported,220,1989
Cleared,43,1989
Reported,207,1990
Cleared,44,1990
Reported,237,1991
Cleared,51,1991
Reported,308,1992
Cleared,55,1992
Reported,252,1993
Cleared,58,1993
Reported,233,1994
Cleared,42,1994
Reported,260,1995
Cleared,33,1995
Reported,321,1996
Cleared,41,1996
Reported,308,1997
Cleared,17,1997
Reported,334,1998
Cleared,12,1998
Reported,306,1999
Cleared,20,1999
Reported,252,2000
Cleared,27,2000
Reported,252,2001
Cleared,27,2001
Reported,244,2002
Cleared,18,2002
Reported,288,2003
Cleared,24,2003
Reported,258,2004
Cleared,16,2004
Reported,258,2005
Cleared,34,2005
Reported,288,2006
Cleared,28,2006
Reported,313,2007
Cleared,51,2007
Reported,306,2008
Cleared,48,2008
Reported,304,2009
Cleared,38,2009
Reported,282,2010
Cleared,30,2010
Reported,242,2011
Cleared,46,2011
Reported,325,2012
Cleared,35,2012
Reported,282,2013
Cleared,22,2013
Reported,195,2014
Cleared,42,2014
Reported,233,2015
Cleared,43,2015
Reported,228,2016
Cleared,40,2016
Reported,142,2017
Cleared,23,2017
Reported,133,2018
Cleared,24,2018
