Label,Value,Year
Reported,4,1985
Cleared,3,1985
Reported,2,1986
Cleared,1,1986
Reported,1,1987
Cleared,1,1987
Reported,1,1988
Cleared,1,1988
Reported,0,1989
Cleared,0,1989
Reported,3,1990
Cleared,3,1990
Reported,1,1991
Cleared,1,1991
Reported,2,1992
Cleared,2,1992
Reported,0,1993
Cleared,0,1993
Reported,2,1994
Cleared,1,1994
Reported,5,1995
Cleared,4,1995
Reported,3,1996
Cleared,3,1996
Reported,1,1997
Cleared,0,1997
Reported,5,1998
Cleared,1,1998
Reported,2,1999
Cleared,2,1999
Reported,0,2000
Cleared,0,2000
Reported,3,2001
Cleared,1,2001
Reported,3,2002
Cleared,1,2002
Reported,0,2003
Cleared,0,2003
Reported,1,2004
Cleared,0,2004
Reported,1,2005
Cleared,1,2005
Reported,0,2006
Cleared,0,2006
Reported,2,2007
Cleared,2,2007
Reported,3,2008
Cleared,2,2008
Reported,1,2009
Cleared,1,2009
Reported,2,2010
Cleared,0,2010
Reported,1,2011
Cleared,0,2011
Reported,1,2012
Cleared,0,2012
Reported,0,2013
Cleared,0,2013
Reported,1,2014
Cleared,0,2014
Reported,1,2015
Cleared,0,2015
Reported,0,2016
Cleared,1,2016
Reported,0,2017
Cleared,0,2017
Reported,2,2018
Cleared,1,2018
