Label,Value,Year
Reported,50,1985
Cleared,17,1985
Reported,48,1986
Cleared,18,1986
Reported,32,1987
Cleared,13,1987
Reported,44,1988
Cleared,5,1988
Reported,42,1989
Cleared,7,1989
Reported,29,1990
Cleared,10,1990
Reported,54,1991
Cleared,22,1991
Reported,46,1992
Cleared,19,1992
Reported,60,1993
Cleared,20,1993
Reported,65,1994
Cleared,17,1994
Reported,74,1995
Cleared,11,1995
Reported,84,1996
Cleared,24,1996
Reported,79,1997
Cleared,11,1997
Reported,74,1998
Cleared,8,1998
Reported,92,1999
Cleared,10,1999
Reported,79,2000
Cleared,8,2000
Reported,68,2001
Cleared,10,2001
Reported,87,2002
Cleared,8,2002
Reported,84,2003
Cleared,6,2003
Reported,107,2004
Cleared,13,2004
Reported,121,2005
Cleared,16,2005
Reported,80,2006
Cleared,12,2006
Reported,100,2007
Cleared,13,2007
Reported,99,2008
Cleared,14,2008
Reported,66,2009
Cleared,7,2009
Reported,82,2010
Cleared,5,2010
Reported,64,2011
Cleared,14,2011
Reported,44,2012
Cleared,8,2012
Reported,43,2013
Cleared,9,2013
Reported,45,2014
Cleared,5,2014
Reported,40,2015
Cleared,11,2015
Reported,42,2016
Cleared,14,2016
Reported,40,2017
Cleared,10,2017
Reported,65,2018
Cleared,19,2018
