Label,Value,Year
Reported,465,1985
Cleared,91,1985
Reported,590,1986
Cleared,133,1986
Reported,612,1987
Cleared,100,1987
Reported,783,1988
Cleared,90,1988
Reported,644,1989
Cleared,92,1989
Reported,640,1990
Cleared,97,1990
Reported,742,1991
Cleared,117,1991
Reported,805,1992
Cleared,143,1992
Reported,743,1993
Cleared,166,1993
Reported,695,1994
Cleared,128,1994
Reported,814,1995
Cleared,88,1995
Reported,927,1996
Cleared,130,1996
Reported,931,1997
Cleared,71,1997
Reported,958,1998
Cleared,68,1998
Reported,883,1999
Cleared,53,1999
Reported,801,2000
Cleared,74,2000
Reported,909,2001
Cleared,127,2001
Reported,872,2002
Cleared,74,2002
Reported,883,2003
Cleared,81,2003
Reported,946,2004
Cleared,84,2004
Reported,933,2005
Cleared,127,2005
Reported,932,2006
Cleared,129,2006
Reported,924,2007
Cleared,130,2007
Reported,929,2008
Cleared,109,2008
Reported,925,2009
Cleared,109,2009
Reported,893,2010
Cleared,105,2010
Reported,689,2011
Cleared,132,2011
Reported,821,2012
Cleared,123,2012
Reported,724,2013
Cleared,93,2013
Reported,545,2014
Cleared,94,2014
Reported,551,2015
Cleared,95,2015
Reported,575,2016
Cleared,118,2016
Reported,426,2017
Cleared,82,2017
Reported,468,2018
Cleared,91,2018
