Label,Value,Year
Legacy Rape Reported,13,1985
Legacy Rape Cleared,8,1985
Legacy Rape Reported,14,1986
Legacy Rape Cleared,12,1986
Legacy Rape Reported,9,1987
Legacy Rape Cleared,8,1987
Legacy Rape Reported,7,1988
Legacy Rape Cleared,4,1988
Legacy Rape Reported,5,1989
Legacy Rape Cleared,5,1989
Legacy Rape Reported,12,1990
Legacy Rape Cleared,11,1990
Legacy Rape Reported,8,1991
Legacy Rape Cleared,6,1991
Legacy Rape Reported,10,1992
Legacy Rape Cleared,5,1992
Legacy Rape Reported,12,1993
Legacy Rape Cleared,6,1993
Legacy Rape Reported,14,1994
Legacy Rape Cleared,10,1994
Legacy Rape Reported,14,1995
Legacy Rape Cleared,6,1995
Legacy Rape Reported,6,1996
Legacy Rape Cleared,1,1996
Legacy Rape Reported,11,1997
Legacy Rape Cleared,4,1997
Legacy Rape Reported,4,1998
Legacy Rape Cleared,1,1998
Legacy Rape Reported,9,1999
Legacy Rape Cleared,2,1999
Legacy Rape Reported,9,2000
Legacy Rape Cleared,4,2000
Legacy Rape Reported,16,2001
Legacy Rape Cleared,2,2001
Legacy Rape Reported,14,2002
Legacy Rape Cleared,4,2002
Legacy Rape Reported,19,2003
Legacy Rape Cleared,4,2003
Legacy Rape Reported,17,2004
Legacy Rape Cleared,3,2004
Legacy Rape Reported,18,2005
Legacy Rape Cleared,6,2005
Legacy Rape Reported,11,2006
Legacy Rape Cleared,3,2006
Legacy Rape Reported,18,2007
Legacy Rape Cleared,10,2007
Legacy Rape Reported,9,2008
Legacy Rape Cleared,3,2008
Legacy Rape Reported,8,2009
Legacy Rape Cleared,3,2009
Legacy Rape Reported,13,2010
Legacy Rape Cleared,10,2010
Legacy Rape Reported,15,2011
Legacy Rape Cleared,6,2011
Legacy Rape Reported,11,2012
Legacy Rape Cleared,4,2012
Revised Rape Reported,8,2013
Revised Rape Cleared,2,2013
Revised Rape Reported,8,2014
Revised Rape Cleared,2,2014
Revised Rape Reported,8,2015
Revised Rape Cleared,2,2015
Revised Rape Reported,6,2016
Revised Rape Cleared,4,2016
Revised Rape Reported,10,2017
Revised Rape Cleared,1,2017
Revised Rape Reported,4,2018
Revised Rape Cleared,1,2018
