Label,Value,Year
Reported,13,1985
Cleared,7,1985
Reported,6,1986
Cleared,3,1986
Reported,12,1987
Cleared,3,1987
Reported,5,1988
Cleared,1,1988
Reported,12,1989
Cleared,3,1989
Reported,11,1990
Cleared,6,1990
Reported,15,1991
Cleared,6,1991
Reported,5,1992
Cleared,2,1992
Reported,15,1993
Cleared,5,1993
Reported,13,1994
Cleared,3,1994
Reported,12,1995
Cleared,4,1995
Reported,14,1996
Cleared,3,1996
Reported,13,1997
Cleared,5,1997
Reported,12,1998
Cleared,1,1998
Reported,10,1999
Cleared,0,1999
Reported,17,2000
Cleared,5,2000
Reported,11,2001
Cleared,2,2001
Reported,5,2002
Cleared,0,2002
Reported,9,2003
Cleared,5,2003
Reported,12,2004
Cleared,2,2004
Reported,9,2005
Cleared,5,2005
Reported,11,2006
Cleared,4,2006
Reported,15,2007
Cleared,2,2007
Reported,11,2008
Cleared,3,2008
Reported,6,2009
Cleared,3,2009
Reported,10,2010
Cleared,1,2010
Reported,12,2011
Cleared,2,2011
Reported,7,2012
Cleared,2,2012
Reported,11,2013
Cleared,5,2013
Reported,13,2014
Cleared,5,2014
Reported,8,2015
Cleared,2,2015
Reported,4,2016
Cleared,0,2016
Reported,8,2017
Cleared,3,2017
Reported,8,2018
Cleared,3,2018
