Label,Value,Year
Reported,85,1985
Cleared,65,1985
Reported,68,1986
Cleared,58,1986
Reported,59,1987
Cleared,47,1987
Reported,64,1988
Cleared,45,1988
Reported,67,1989
Cleared,53,1989
Reported,82,1990
Cleared,70,1990
Reported,96,1991
Cleared,74,1991
Reported,93,1992
Cleared,74,1992
Reported,125,1993
Cleared,95,1993
Reported,132,1994
Cleared,97,1994
Reported,150,1995
Cleared,88,1995
Reported,115,1996
Cleared,51,1996
Reported,141,1997
Cleared,52,1997
Reported,130,1998
Cleared,59,1998
Reported,120,1999
Cleared,49,1999
Reported,190,2000
Cleared,106,2000
Reported,172,2001
Cleared,95,2001
Reported,159,2002
Cleared,89,2002
Reported,127,2003
Cleared,80,2003
Reported,154,2004
Cleared,83,2004
Reported,199,2005
Cleared,130,2005
Reported,160,2006
Cleared,103,2006
Reported,218,2007
Cleared,130,2007
Reported,159,2008
Cleared,88,2008
Reported,125,2009
Cleared,80,2009
Reported,157,2010
Cleared,107,2010
Reported,137,2011
Cleared,86,2011
Reported,147,2012
Cleared,87,2012
Reported,159,2013
Cleared,96,2013
Reported,138,2014
Cleared,92,2014
Reported,130,2015
Cleared,102,2015
Reported,128,2016
Cleared,80,2016
Reported,135,2017
Cleared,100,2017
Reported,110,2018
Cleared,81,2018
