year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,TN0570000,85,65,4,3,13,7,55,47,465,91,28,7,186,39,229,35,50,17
1986,TN0570000,68,58,2,1,6,3,46,42,590,133,26,5,257,58,285,57,48,18
1987,TN0570000,59,47,1,1,12,3,37,35,612,100,23,4,248,51,332,36,32,13
1988,TN0570000,64,45,1,1,5,1,51,39,783,90,24,2,305,48,434,37,44,5
1989,TN0570000,67,53,0,0,12,3,50,45,644,92,11,3,220,43,382,42,42,7
1990,TN0570000,82,70,3,3,11,6,56,50,640,97,10,1,207,44,404,43,29,10
1991,TN0570000,96,74,1,1,15,6,72,61,742,117,5,1,237,51,451,44,54,22
1992,TN0570000,93,74,2,2,5,2,76,65,805,143,4,2,308,55,451,69,46,19
1993,TN0570000,125,95,0,0,15,5,98,84,743,166,5,2,252,58,431,88,60,20
1994,TN0570000,132,97,2,1,13,3,103,83,695,128,4,1,233,42,397,69,65,17
1995,TN0570000,150,88,5,4,12,4,119,74,814,88,5,1,260,33,480,44,74,11
1996,TN0570000,115,51,3,3,14,3,92,44,927,130,3,0,321,41,522,65,84,24
1997,TN0570000,141,52,1,0,13,5,116,43,931,71,4,2,308,17,544,43,79,11
1998,TN0570000,130,59,5,1,12,1,109,56,958,68,5,0,334,12,550,48,74,8
1999,TN0570000,120,49,2,2,10,0,99,45,883,53,3,0,306,20,485,23,92,10
2000,TN0570000,190,106,0,0,17,5,164,97,801,74,0,0,252,27,470,39,79,8
2001,TN0570000,172,95,3,1,11,2,142,90,909,127,9,0,252,27,589,90,68,10
2002,TN0570000,159,89,3,1,5,0,137,84,872,74,4,2,244,18,541,48,87,8
2003,TN0570000,127,80,0,0,9,5,99,71,883,81,10,3,288,24,511,51,84,6
2004,TN0570000,154,83,1,0,12,2,124,78,946,84,9,3,258,16,581,55,107,13
2005,TN0570000,199,130,1,1,9,5,171,118,933,127,3,0,258,34,554,77,121,16
2006,TN0570000,160,103,0,0,11,4,138,96,932,129,2,0,288,28,564,89,80,12
2007,TN0570000,218,130,2,2,15,2,183,116,924,130,4,1,313,51,511,66,100,13
2008,TN0570000,159,88,3,2,11,3,136,80,929,109,4,3,306,48,524,47,99,14
2009,TN0570000,125,80,1,1,6,3,110,73,925,109,5,2,304,38,555,64,66,7
2010,TN0570000,157,107,2,0,10,1,132,96,893,105,7,0,282,30,529,70,82,5
2011,TN0570000,137,86,1,0,12,2,109,78,689,132,1,0,242,46,383,72,64,14
2012,TN0570000,147,87,1,0,7,2,128,81,821,123,6,1,325,35,452,80,44,8
2013,TN0570000,159,96,0,0,11,5,140,89,724,93,4,2,282,22,399,62,43,9
2014,TN0570000,138,92,1,0,13,5,116,85,545,94,7,4,195,42,305,47,45,5
2015,TN0570000,130,102,1,0,8,2,113,98,551,95,2,2,233,43,278,41,40,11
2016,TN0570000,128,80,0,1,4,0,118,75,575,118,3,3,228,40,305,64,42,14
2017,TN0570000,135,100,0,0,8,3,109,95,426,82,0,0,142,23,244,49,40,10
2018,TN0570000,110,81,2,1,8,3,93,76,468,91,2,0,133,24,270,48,65,19
