year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,TX0151100,1,1,0,0,25,1,0,0,48,7,5,0,78,8,1,0,4,1
1986,TX0151100,5,5,0,0,27,11,0,0,67,22,2,2,96,35,1,0,7,5
1987,TX0151100,0,0,0,0,23,12,0,0,60,1,5,0,88,13,6,1,6,1
1988,TX0151100,1,1,0,0,23,2,0,0,46,4,10,1,79,7,2,1,3,2
1989,TX0151100,3,3,0,0,21,1,0,0,88,6,14,2,123,9,1,0,5,3
1990,TX0151100,1,1,0,0,16,2,0,0,54,4,13,1,83,7,2,0,3,1
1991,TX0151100,4,3,1,1,18,1,2,1,50,4,11,1,79,6,2,2,8,6
1992,TX0151100,3,2,0,0,16,1,0,0,64,15,9,0,89,16,3,0,6,2
1993,TX0151100,2,2,0,0,31,6,0,0,84,10,23,5,138,21,0,0,2,2
1994,TX0151100,1,0,0,0,11,1,0,0,78,1,16,0,105,2,1,0,2,0
1995,TX0151100,1,1,0,0,7,0,1,1,69,9,3,0,79,9,1,1,3,3
1996,TX0151100,1,0,0,0,10,0,0,0,52,3,6,1,68,4,0,0,1,0
1997,TX0151100,0,0,0,0,3,0,0,0,36,11,4,3,43,14,1,0,1,0
1998,TX0151100,0,0,0,0,9,2,0,0,35,7,2,1,46,10,2,0,3,1
1999,TX0151100,3,3,0,0,6,1,0,0,43,6,0,0,49,7,1,0,4,3
2000,TX0151100,0,0,0,0,10,1,0,0,38,3,1,0,49,4,1,0,2,0
2001,TX0151100,0,0,0,0,7,0,0,0,36,2,7,2,50,4,3,0,3,0
2002,TX0151100,0,0,0,0,8,2,0,0,24,7,1,0,33,9,1,0,1,0
2003,TX0151100,0,0,0,0,6,1,0,0,34,9,3,0,43,10,0,0,0,0
2004,TX0151100,0,0,0,0,17,10,1,1,34,5,1,0,52,15,1,0,2,1
2005,TX0151100,1,1,0,0,7,10,0,0,46,5,1,0,54,15,0,0,1,1
2006,TX0151100,0,0,1,1,6,2,0,0,26,1,7,0,39,3,1,0,2,0
2007,TX0151100,1,1,0,0,12,1,0,0,45,7,2,1,59,9,1,1,3,3
2008,TX0151100,1,1,0,0,17,1,0,0,65,2,4,0,86,3,2,0,3,1
2009,TX0151100,0,0,0,0,17,1,0,0,74,5,3,1,94,7,1,1,1,1
2010,TX0151100,0,0,0,0,9,2,0,0,62,14,1,0,72,16,1,1,1,1
2011,TX0151100,0,0,0,0,12,2,0,0,46,3,3,1,61,6,0,0,0,0
2012,TX0151100,0,0,0,0,18,8,0,0,86,15,0,0,104,23,0,0,0,0
2013,TX0151100,0,0,0,0,7,0,0,0,41,3,4,2,52,5,1,0,1,0
2014,TX0151100,0,0,0,0,9,0,0,0,36,2,5,3,50,5,0,0,0,0
2015,TX0151100,0,0,0,0,2,2,0,0,37,3,0,0,39,5,0,0,0,0
2016,TX0151100,0,0,0,0,2,0,0,0,35,2,4,1,41,3,0,0,0,0
2017,TX0151100,0,0,0,0,2,1,0,0,34,4,2,0,38,5,0,0,0,0
2018,TX0151100,1,0,0,0,5,1,0,0,17,0,2,2,24,3,0,0,1,0
