Label,Value,Year
Reported,55,1985
Cleared,42,1985
Reported,46,1986
Cleared,30,1986
Reported,42,1987
Cleared,25,1987
Reported,71,1988
Cleared,55,1988
Reported,53,1989
Cleared,35,1989
Reported,90,1990
Cleared,60,1990
Reported,71,1991
Cleared,49,1991
Reported,77,1992
Cleared,46,1992
Reported,70,1993
Cleared,61,1993
Reported,55,1994
Cleared,31,1994
Reported,91,1995
Cleared,52,1995
Reported,71,1996
Cleared,64,1996
Reported,91,1997
Cleared,67,1997
Reported,91,1998
Cleared,66,1998
Reported,97,1999
Cleared,59,1999
Reported,93,2000
Cleared,59,2000
Reported,111,2001
Cleared,58,2001
Reported,97,2002
Cleared,31,2002
Reported,102,2003
Cleared,42,2003
Reported,84,2004
Cleared,45,2004
Reported,119,2005
Cleared,77,2005
Reported,105,2006
Cleared,64,2006
Reported,90,2007
Cleared,47,2007
Reported,118,2008
Cleared,65,2008
Reported,98,2009
Cleared,56,2009
Reported,132,2010
Cleared,90,2010
Reported,105,2011
Cleared,72,2011
Reported,104,2012
Cleared,64,2012
Reported,120,2013
Cleared,59,2013
Reported,110,2014
Cleared,52,2014
Reported,139,2015
Cleared,71,2015
Reported,120,2016
Cleared,57,2016
Reported,158,2017
Cleared,81,2017
Reported,141,2018
Cleared,59,2018
