Label,Value,Year
Reported,8,1985
Cleared,2,1985
Reported,11,1986
Cleared,4,1986
Reported,31,1987
Cleared,10,1987
Reported,13,1988
Cleared,1,1988
Reported,24,1989
Cleared,6,1989
Reported,25,1990
Cleared,8,1990
Reported,19,1991
Cleared,6,1991
Reported,19,1992
Cleared,3,1992
Reported,20,1993
Cleared,11,1993
Reported,15,1994
Cleared,7,1994
Reported,13,1995
Cleared,1,1995
Reported,9,1996
Cleared,1,1996
Reported,8,1997
Cleared,2,1997
Reported,2,1998
Cleared,1,1998
Reported,3,1999
Cleared,0,1999
Reported,9,2000
Cleared,3,2000
Reported,9,2001
Cleared,0,2001
Reported,8,2002
Cleared,6,2002
Reported,10,2003
Cleared,4,2003
Reported,8,2004
Cleared,3,2004
Reported,11,2005
Cleared,2,2005
Reported,15,2006
Cleared,4,2006
Reported,4,2007
Cleared,1,2007
Reported,11,2008
Cleared,1,2008
Reported,5,2009
Cleared,1,2009
Reported,2,2010
Cleared,0,2010
Reported,7,2011
Cleared,1,2011
Reported,8,2012
Cleared,2,2012
Reported,4,2013
Cleared,1,2013
Reported,6,2014
Cleared,3,2014
Reported,7,2015
Cleared,5,2015
Reported,8,2016
Cleared,2,2016
Reported,6,2017
Cleared,1,2017
Reported,4,2018
Cleared,2,2018
