Label,Value,Year
Reported,5,1989
Cleared,3,1989
Reported,2,1990
Cleared,1,1990
Reported,2,1991
Cleared,2,1991
Reported,5,1992
Cleared,3,1992
Reported,2,1993
Cleared,2,1993
Reported,5,1994
Cleared,3,1994
Reported,3,1995
Cleared,2,1995
Reported,3,1996
Cleared,1,1996
Reported,7,1997
Cleared,6,1997
Reported,1,1998
Cleared,0,1998
Reported,6,1999
Cleared,5,1999
Reported,2,2000
Cleared,0,2000
Reported,1,2001
Cleared,1,2001
Reported,4,2002
Cleared,1,2002
Reported,10,2003
Cleared,3,2003
Reported,2,2004
Cleared,0,2004
Reported,2,2005
Cleared,0,2005
Reported,2,2006
Cleared,1,2006
Reported,2,2007
Cleared,0,2007
Reported,0,2008
Cleared,0,2008
Reported,2,2009
Cleared,0,2009
Reported,3,2010
Cleared,1,2010
Reported,7,2011
Cleared,2,2011
Reported,3,2012
Cleared,2,2012
Reported,2,2013
Cleared,0,2013
Reported,4,2014
Cleared,2,2014
Reported,2,2015
Cleared,1,2015
Reported,3,2016
Cleared,1,2016
Reported,4,2017
Cleared,1,2017
Reported,4,2018
Cleared,2,2018
