Label,Value,Year
Legacy Rape Reported,234,1985
Legacy Rape Cleared,112,1985
Legacy Rape Reported,292,1986
Legacy Rape Cleared,128,1986
Legacy Rape Reported,288,1987
Legacy Rape Cleared,170,1987
Legacy Rape Reported,236,1988
Legacy Rape Cleared,153,1988
Legacy Rape Reported,210,1989
Legacy Rape Cleared,135,1989
Legacy Rape Reported,210,1990
Legacy Rape Cleared,118,1990
Legacy Rape Reported,341,1991
Legacy Rape Cleared,88,1991
Legacy Rape Reported,473,1992
Legacy Rape Cleared,39,1992
Legacy Rape Reported,930,1993
Legacy Rape Cleared,58,1993
Legacy Rape Reported,589,1994
Legacy Rape Cleared,300,1994
Legacy Rape Reported,375,1995
Legacy Rape Cleared,109,1995
Legacy Rape Reported,378,1996
Legacy Rape Cleared,136,1996
Legacy Rape Reported,274,1997
Legacy Rape Cleared,145,1997
Legacy Rape Reported,315,1998
Legacy Rape Cleared,141,1998
Legacy Rape Reported,283,1999
Legacy Rape Cleared,117,1999
Legacy Rape Reported,303,2000
Legacy Rape Cleared,114,2000
Legacy Rape Reported,301,2001
Legacy Rape Cleared,114,2001
Legacy Rape Reported,297,2002
Legacy Rape Cleared,135,2002
Legacy Rape Reported,344,2003
Legacy Rape Cleared,139,2003
Legacy Rape Reported,370,2004
Legacy Rape Cleared,129,2004
Legacy Rape Reported,327,2005
Legacy Rape Cleared,121,2005
Legacy Rape Reported,338,2006
Legacy Rape Cleared,119,2006
Legacy Rape Reported,354,2007
Legacy Rape Cleared,101,2007
Legacy Rape Reported,351,2008
Legacy Rape Cleared,146,2008
Legacy Rape Reported,281,2009
Legacy Rape Cleared,54,2009
Legacy Rape Reported,212,2010
Legacy Rape Cleared,32,2010
Legacy Rape Reported,335,2011
Legacy Rape Cleared,74,2011
Legacy Rape Reported,295,2012
Legacy Rape Cleared,52,2012
Legacy Rape Reported,281,2013
Legacy Rape Cleared,43,2013
Revised Rape Reported,433,2014
Revised Rape Cleared,43,2014
Revised Rape Reported,454,2015
Revised Rape Cleared,52,2015
Revised Rape Reported,537,2016
Revised Rape Cleared,71,2016
Revised Rape Reported,533,2017
Revised Rape Cleared,76,2017
Revised Rape Reported,591,2018
Revised Rape Cleared,71,2018
