Label,Value,Year
Reported,24308,1985
Cleared,8236,1985
Reported,28469,1986
Cleared,7701,1986
Reported,28486,1987
Cleared,7420,1987
Reported,34056,1988
Cleared,7315,1988
Reported,33556,1989
Cleared,6979,1989
Reported,35955,1990
Cleared,6665,1990
Reported,34417,1991
Cleared,6076,1991
Reported,35336,1992
Cleared,5892,1992
Reported,35647,1993
Cleared,6337,1993
Reported,26403,1994
Cleared,5759,1994
Reported,27434,1995
Cleared,0,1995
Reported,27187,1996
Cleared,0,1996
Reported,27485,1997
Cleared,4015,1997
Reported,26133,1998
Cleared,3669,1998
Reported,26526,1999
Cleared,3949,1999
Reported,26753,2000
Cleared,3847,2000
Reported,29442,2001
Cleared,3696,2001
Reported,29725,2002
Cleared,4349,2002
Reported,32259,2003
Cleared,3542,2003
Reported,31938,2004
Cleared,4326,2004
Reported,31835,2005
Cleared,3626,2005
Reported,31562,2006
Cleared,3503,2006
Reported,34461,2007
Cleared,4012,2007
Reported,33582,2008
Cleared,3971,2008
Reported,37054,2009
Cleared,4421,2009
Reported,34827,2010
Cleared,3771,2010
Reported,33069,2011
Cleared,4310,2011
Reported,33913,2012
Cleared,4367,2012
Reported,32948,2013
Cleared,4564,2013
Reported,29423,2014
Cleared,4437,2014
Reported,28068,2015
Cleared,3670,2015
Reported,26204,2016
Cleared,3180,2016
Reported,24542,2017
Cleared,2572,2017
Reported,26568,2018
Cleared,2370,2018
