Label,Value,Year
Reported,2363,1985
Cleared,1463,1985
Reported,2667,1986
Cleared,1616,1986
Reported,2313,1987
Cleared,1580,1987
Reported,2508,1988
Cleared,1502,1988
Reported,2605,1989
Cleared,1555,1989
Reported,3326,1990
Cleared,1925,1990
Reported,2968,1991
Cleared,1531,1991
Reported,2850,1992
Cleared,1424,1992
Reported,3011,1993
Cleared,1583,1993
Reported,3249,1994
Cleared,1562,1994
Reported,4050,1995
Cleared,0,1995
Reported,3821,1996
Cleared,0,1996
Reported,3527,1997
Cleared,1624,1997
Reported,3026,1998
Cleared,1257,1998
Reported,2790,1999
Cleared,1250,1999
Reported,3098,2000
Cleared,1431,2000
Reported,3181,2001
Cleared,1341,2001
Reported,3203,2002
Cleared,1496,2002
Reported,3153,2003
Cleared,1253,2003
Reported,3588,2004
Cleared,1521,2004
Reported,3393,2005
Cleared,1516,2005
Reported,3658,2006
Cleared,1662,2006
Reported,3871,2007
Cleared,1750,2007
Reported,3935,2008
Cleared,1843,2008
Reported,4024,2009
Cleared,1752,2009
Reported,3790,2010
Cleared,1591,2010
Reported,3470,2011
Cleared,1668,2011
Reported,3405,2012
Cleared,1669,2012
Reported,3123,2013
Cleared,1782,2013
Reported,3581,2014
Cleared,1882,2014
Reported,3497,2015
Cleared,1796,2015
Reported,3903,2016
Cleared,1776,2016
Reported,4033,2017
Cleared,1836,2017
Reported,3720,2018
Cleared,1477,2018
