year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,TX2270100,2363,1463,52,48,1076,533,746,539,36681,11290,258,50,10261,2428,24308,8236,2112,626
1986,TX2270100,2667,1616,48,37,1124,519,1107,785,43189,11034,240,0,12454,2712,28469,7701,2266,621
1987,TX2270100,2313,1580,39,37,985,562,1005,790,42025,10461,241,27,11417,2407,28486,7420,2122,634
1988,TX2270100,2508,1502,43,36,1018,436,1200,866,48165,10083,480,24,11990,2188,34056,7315,2119,580
1989,TX2270100,2605,1555,31,23,1019,436,1320,940,47423,9624,484,6,11160,2066,33556,6979,2707,579
1990,TX2270100,3326,1925,46,26,1461,574,1539,1157,51217,9286,456,14,11371,2033,35955,6665,3891,588
1991,TX2270100,2968,1531,49,35,1555,583,1088,761,50747,8762,501,27,11591,2013,34417,6076,4739,673
1992,TX2270100,2850,1424,37,32,1450,469,1069,790,50114,8191,447,69,10208,1560,35336,5892,4570,739
1993,TX2270100,3011,1583,37,31,1555,536,1148,860,48457,8276,610,85,8453,1365,35647,6337,4357,574
1994,TX2270100,3249,1562,37,35,1542,458,1421,921,37383,7191,607,83,7047,878,26403,5759,3933,554
1995,TX2270100,4050,0,46,0,1336,0,2360,0,38536,0,491,105,7521,0,27434,0,3581,0
1996,TX2270100,3821,0,40,0,1376,0,2135,0,38457,0,448,68,7575,0,27187,0,3695,0
1997,TX2270100,3527,1624,40,26,1284,326,1920,1123,39461,4961,139,24,7511,467,27485,4015,4465,479
1998,TX2270100,3026,1257,32,24,1097,259,1678,887,36168,4434,252,13,6952,417,26133,3669,3083,348
1999,TX2270100,2790,1250,21,17,1002,219,1574,928,35900,4640,217,30,6748,468,26526,3949,2626,223
2000,TX2270100,3098,1431,32,22,1005,224,1682,977,35881,4683,142,47,6436,574,26753,3847,2692,262
2001,TX2270100,3181,1341,26,16,1183,226,1698,987,40268,4376,144,29,7471,468,29442,3696,3355,212
2002,TX2270100,3203,1496,25,19,1174,271,1748,1101,39776,5196,152,63,6916,575,29725,4349,3135,272
2003,TX2270100,3153,1253,27,20,1251,247,1649,867,42270,4357,140,56,7240,554,32259,3542,2771,261
2004,TX2270100,3588,1521,26,23,1406,377,1853,948,41384,5187,116,45,6810,591,31938,4326,2636,270
2005,TX2270100,3393,1516,26,25,1182,337,1873,1004,41668,4441,115,52,7285,538,31835,3626,2548,277
2006,TX2270100,3658,1662,20,17,1358,395,1961,1107,41573,4424,88,37,7467,556,31562,3503,2544,365
2007,TX2270100,3871,1750,30,19,1457,409,2056,1152,45453,5005,116,27,8031,570,34461,4012,2961,423
2008,TX2270100,3935,1843,23,23,1333,394,2306,1289,44801,4856,87,32,8586,596,33582,3971,2633,289
2009,TX2270100,4024,1752,22,21,1415,371,2322,1239,48026,5134,96,27,8753,470,37054,4421,2219,243
2010,TX2270100,3790,1591,38,21,1231,358,2256,1126,45826,4411,122,33,8749,426,34827,3771,2250,214
2011,TX2270100,3470,1668,27,25,1106,322,2126,1241,42250,5118,127,51,7042,618,33069,4310,2139,190
2012,TX2270100,3405,1669,31,27,978,227,2187,1309,43472,5304,121,57,7244,728,33913,4367,2315,209
2013,TX2270100,3123,1782,26,26,763,219,2117,1393,41667,5411,105,54,6550,599,32948,4564,2169,248
2014,TX2270100,3581,1882,32,21,873,272,2105,1279,37444,5430,95,51,5733,623,29423,4437,2288,370
2015,TX2270100,3497,1796,23,20,929,287,2058,1230,35399,4721,91,31,5000,593,28068,3670,2331,458
2016,TX2270100,3903,1776,39,31,1048,362,2069,1002,33575,4332,74,32,5252,655,26204,3180,2119,497
2017,TX2270100,4033,1836,26,26,987,329,2186,1042,31001,3430,76,32,4380,550,24542,2572,2079,308
2018,TX2270100,3720,1477,32,28,1021,341,1880,837,33655,3370,53,25,4549,544,26568,2370,2538,456
