Series,Year,Rate
1985,Male Officers,619
1985,Female Officers,62
1985,Male Civilians,163
1985,Female Civilians,175
1986,Male Officers,670
1986,Female Officers,77
1986,Male Civilians,140
1986,Female Civilians,179
1987,Male Officers,681
1987,Female Officers,80
1987,Male Civilians,138
1987,Female Civilians,186
1988,Male Officers,700
1988,Female Officers,87
1988,Male Civilians,118
1988,Female Civilians,162
1989,Male Officers,669
1989,Female Officers,87
1989,Male Civilians,105
1989,Female Civilians,167
1990,Male Officers,680
1990,Female Officers,88
1990,Male Civilians,110
1990,Female Civilians,183
1991,Male Officers,719
1991,Female Officers,92
1991,Male Civilians,120
1991,Female Civilians,194
1992,Male Officers,734
1992,Female Officers,91
1992,Male Civilians,119
1992,Female Civilians,215
1993,Male Officers,782
1993,Female Officers,99
1993,Male Civilians,150
1993,Female Civilians,211
1994,Male Officers,817
1994,Female Officers,104
1994,Male Civilians,163
1994,Female Civilians,197
1995,Male Officers,875
1995,Female Officers,108
1995,Male Civilians,209
1995,Female Civilians,228
1996,Male Officers,815
1996,Female Officers,120
1996,Male Civilians,174
1996,Female Civilians,243
1997,Male Officers,852
1997,Female Officers,116
1997,Male Civilians,165
1997,Female Civilians,276
1998,Male Officers,955
1998,Female Officers,130
1998,Male Civilians,141
1998,Female Civilians,265
1999,Male Officers,1017
1999,Female Officers,139
1999,Male Civilians,154
1999,Female Civilians,276
2000,Male Officers,1002
2000,Female Officers,134
2000,Male Civilians,195
2000,Female Civilians,295
2001,Male Officers,1069
2001,Female Officers,139
2001,Male Civilians,269
2001,Female Civilians,317
2002,Male Officers,1105
2002,Female Officers,146
2002,Male Civilians,230
2002,Female Civilians,330
2003,Male Officers,1162
2003,Female Officers,152
2003,Male Civilians,168
2003,Female Civilians,262
2004,Male Officers,1204
2004,Female Officers,161
2004,Male Civilians,121
2004,Female Civilians,340
2005,Male Officers,1207
2005,Female Officers,154
2005,Male Civilians,141
2005,Female Civilians,333
2006,Male Officers,1216
2006,Female Officers,157
2006,Male Civilians,222
2006,Female Civilians,351
2007,Male Officers,1253
2007,Female Officers,165
2007,Male Civilians,206
2007,Female Civilians,371
2008,Male Officers,1291
2008,Female Officers,175
2008,Male Civilians,200
2008,Female Civilians,368
2009,Male Officers,1383
2009,Female Officers,181
2009,Male Civilians,220
2009,Female Civilians,362
2010,Male Officers,1431
2010,Female Officers,174
2010,Male Civilians,171
2010,Female Civilians,365
2011,Male Officers,1465
2011,Female Officers,179
2011,Male Civilians,210
2011,Female Civilians,357
2012,Male Officers,1454
2012,Female Officers,174
2012,Male Civilians,250
2012,Female Civilians,374
2013,Male Officers,1505
2013,Female Officers,170
2013,Male Civilians,179
2013,Female Civilians,379
2014,Male Officers,1538
2014,Female Officers,171
2014,Male Civilians,245
2014,Female Civilians,352
2015,Male Officers,1575
2015,Female Officers,175
2015,Male Civilians,181
2015,Female Civilians,359
2016,Male Officers,1635
2016,Female Officers,172
2016,Male Civilians,168
2016,Female Civilians,386
2017,Male Officers,1630
2017,Female Officers,178
2017,Male Civilians,167
2017,Female Civilians,391
2018,Male Officers,1663
2018,Female Officers,188
2018,Male Civilians,178
2018,Female Civilians,393
