Label,Value,Year
Reported,17,1985
Cleared,10,1985
Reported,34,1986
Cleared,19,1986
Reported,36,1987
Cleared,14,1987
Reported,23,1988
Cleared,11,1988
Reported,24,1989
Cleared,10,1989
Reported,17,1990
Cleared,5,1990
Reported,17,1991
Cleared,10,1991
Reported,10,1992
Cleared,3,1992
Reported,18,1993
Cleared,12,1993
Reported,12,1994
Cleared,4,1994
Reported,18,1995
Cleared,13,1995
Reported,31,1996
Cleared,18,1996
Reported,17,1997
Cleared,10,1997
Reported,9,1998
Cleared,2,1998
Reported,3,1999
Cleared,0,1999
Reported,33,2000
Cleared,9,2000
