Label,Value,Year
Reported,156,1985
Cleared,4,1985
Reported,210,1986
Cleared,0,1986
Reported,320,1987
Cleared,2,1987
Reported,269,1988
Cleared,1,1988
Reported,231,1989
Cleared,5,1989
Reported,210,1990
Cleared,13,1990
Reported,279,1991
Cleared,132,1991
Reported,273,1992
Cleared,35,1992
Reported,244,1993
Cleared,17,1993
Reported,187,1994
Cleared,15,1994
Reported,194,1995
Cleared,6,1995
Reported,171,1996
Cleared,15,1996
Reported,197,1997
Cleared,14,1997
Reported,138,1998
Cleared,14,1998
Reported,140,1999
Cleared,26,1999
Reported,87,2000
Cleared,7,2000
Reported,160,2001
Cleared,9,2001
Reported,222,2002
Cleared,19,2002
Reported,198,2003
Cleared,18,2003
Reported,244,2004
Cleared,26,2004
Reported,267,2005
Cleared,14,2005
Reported,206,2006
Cleared,23,2006
Reported,187,2007
Cleared,14,2007
Reported,166,2008
Cleared,18,2008
Reported,178,2009
Cleared,17,2009
Reported,175,2010
Cleared,17,2010
Reported,96,2011
Cleared,16,2011
Reported,193,2012
Cleared,31,2012
Reported,150,2013
Cleared,21,2013
Reported,156,2014
Cleared,42,2014
Reported,107,2015
Cleared,28,2015
Reported,88,2016
Cleared,8,2016
Reported,110,2017
Cleared,17,2017
Reported,104,2018
Cleared,8,2018
