Label,Value,Year
Reported,3,1985
Cleared,2,1985
Reported,0,1986
Cleared,0,1986
Reported,0,1987
Cleared,0,1987
Reported,2,1988
Cleared,1,1988
Reported,2,1989
Cleared,2,1989
Reported,0,1990
Cleared,0,1990
Reported,0,1991
Cleared,0,1991
Reported,2,1992
Cleared,8,1992
Reported,3,1993
Cleared,0,1993
Reported,3,1994
Cleared,3,1994
Reported,4,1995
Cleared,0,1995
Reported,1,1996
Cleared,0,1996
Reported,4,1997
Cleared,0,1997
Reported,4,1998
Cleared,1,1998
Reported,2,1999
Cleared,2,1999
Reported,6,2000
Cleared,0,2000
Reported,2,2001
Cleared,1,2001
Reported,1,2002
Cleared,0,2002
Reported,3,2003
Cleared,2,2003
Reported,0,2004
Cleared,0,2004
Reported,3,2005
Cleared,1,2005
Reported,2,2006
Cleared,1,2006
Reported,3,2007
Cleared,2,2007
Reported,5,2008
Cleared,0,2008
Reported,3,2009
Cleared,2,2009
Reported,2,2010
Cleared,0,2010
Reported,3,2011
Cleared,5,2011
Reported,6,2012
Cleared,5,2012
Reported,3,2013
Cleared,2,2013
Reported,2,2014
Cleared,2,2014
Reported,1,2015
Cleared,1,2015
Reported,2,2016
Cleared,2,2016
Reported,2,2017
Cleared,0,2017
Reported,6,2018
Cleared,2,2018
