year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,TX2490000,11,2,5,0,156,4,3,2,210,6,48,1,414,11,3,2
1986,TX2490000,37,11,4,0,210,0,1,0,203,1,33,2,446,3,0,0
1987,TX2490000,15,1,2,0,320,2,0,0,267,1,36,0,623,3,0,0
1988,TX2490000,20,10,1,0,269,1,1,1,301,2,23,2,593,5,2,1
1989,TX2490000,27,19,0,0,231,5,4,1,244,5,23,8,498,18,2,2
1990,TX2490000,20,7,0,0,210,13,0,0,262,15,37,18,509,46,0,0
1991,TX2490000,39,17,8,0,279,132,1,0,240,43,21,13,540,188,0,0
1992,TX2490000,64,26,9,0,273,35,0,0,256,27,13,2,542,64,2,8
1993,TX2490000,73,64,5,2,244,17,0,0,280,20,32,2,556,39,3,0
1994,TX2490000,40,19,0,0,187,15,1,1,240,20,30,6,457,41,3,3
1995,TX2490000,47,20,5,1,194,6,0,0,289,7,29,5,512,18,4,0
1996,TX2490000,34,18,2,0,171,15,0,0,269,13,15,4,455,32,1,0
1997,TX2490000,52,21,0,0,197,14,0,0,232,20,27,7,456,41,4,0
1998,TX2490000,52,24,1,1,138,14,2,0,237,11,26,5,401,30,4,1
1999,TX2490000,47,34,1,1,140,26,0,0,206,22,21,7,367,55,2,2
2000,TX2490000,31,21,0,0,87,7,3,3,122,6,26,4,235,17,6,0
2001,TX2490000,39,17,1,1,160,9,1,0,164,6,26,2,350,17,2,1
2002,TX2490000,91,55,0,0,222,19,0,1,253,30,76,19,551,68,1,0
2003,TX2490000,127,73,0,0,198,18,0,0,290,41,10,2,498,61,3,2
2004,TX2490000,146,58,0,0,244,26,0,0,431,100,20,11,695,137,0,0
2005,TX2490000,131,57,1,1,267,14,0,0,408,48,18,6,693,68,3,1
2006,TX2490000,142,44,0,0,206,23,1,1,425,26,9,4,640,53,2,1
2007,TX2490000,111,60,0,0,187,14,1,1,385,29,10,3,582,46,3,2
2008,TX2490000,122,72,0,0,166,18,0,1,325,90,14,8,505,116,5,0
2009,TX2490000,133,83,0,0,178,17,0,1,295,36,9,3,482,56,3,2
2010,TX2490000,106,65,0,0,175,17,0,0,262,28,12,6,449,51,2,0
2011,TX2490000,25,20,15,15,96,16,2,2,170,56,25,8,291,80,3,5
2012,TX2490000,54,34,1,1,193,31,1,1,304,52,45,20,542,103,6,5
2013,TX2490000,57,51,10,1,150,21,1,1,253,41,37,11,440,73,3,2
2014,TX2490000,52,44,32,2,156,42,0,0,169,45,27,11,352,98,2,2
2015,TX2490000,37,32,32,4,107,28,2,2,131,28,54,14,292,70,1,1
2016,TX2490000,61,43,8,0,88,8,1,1,147,16,38,13,273,37,2,2
2017,TX2490000,61,45,3,3,110,17,2,2,211,37,32,15,353,69,2,0
2018,TX2490000,75,42,7,3,104,8,3,2,211,22,41,14,356,44,6,2
