Label,Value,Year
Reported,760,1985
Cleared,137,1985
Reported,937,1986
Cleared,163,1986
Reported,943,1987
Cleared,209,1987
Reported,1370,1988
Cleared,305,1988
Reported,1398,1989
Cleared,444,1989
Reported,1555,1990
Cleared,432,1990
Reported,1527,1991
Cleared,432,1991
Reported,1371,1992
Cleared,394,1992
Reported,1324,1993
Cleared,306,1993
Reported,1368,1994
Cleared,300,1994
Reported,1427,1995
Cleared,347,1995
Reported,1687,1996
Cleared,368,1996
Reported,1530,1997
Cleared,282,1997
Reported,1380,1998
Cleared,257,1998
Reported,1398,1999
Cleared,165,1999
Reported,1380,2000
Cleared,254,2000
Reported,1655,2001
Cleared,325,2001
Reported,1567,2002
Cleared,384,2002
Reported,1301,2003
Cleared,308,2003
Reported,1141,2004
Cleared,192,2004
Reported,984,2005
Cleared,180,2005
Reported,1058,2006
Cleared,236,2006
Reported,909,2007
Cleared,229,2007
Reported,900,2008
Cleared,200,2008
Reported,758,2009
Cleared,160,2009
Reported,642,2010
Cleared,174,2010
Reported,596,2011
Cleared,120,2011
Reported,581,2012
Cleared,132,2012
Reported,455,2013
Cleared,65,2013
Reported,385,2014
Cleared,75,2014
Reported,349,2015
Cleared,78,2015
Reported,369,2016
Cleared,74,2016
Reported,151,2017
Cleared,31,2017
Reported,150,2018
Cleared,5,2018
